Team,W_PCT,PLUS_MINUS,PTS,FG_PCT,AST,TOV,REB,STL,PF,BLK,Home_Win_PCT,Away_Win_PCT,PIE,eFG%,TOV%,ORB%,FTR
Atlanta Hawks,0.26663636363636367,-109.27272727272727,1105.5757575757575,0.44927272727272727,239.72727272727272,180.9090909090909,436.1818181818182,87.60606060606061,235.6060606060606,50.21212121212121,0.4117647058823529,0.1818181818181818,0.454,0.515,0.155,0.267,0.2654075057011863
Boston Celtics,0.7397878787878788,63.45454545454545,999.030303030303,0.4359393939393939,210.21212121212122,119.84848484848484,416.1818181818182,76.48484848484848,192.0,53.21212121212121,0.7222222222222222,0.6111111111111112,0.531,0.531,0.137,0.283,0.2529027804547239
Brooklyn Nets,0.414375,-10.34375,1065.65625,0.44846875,225.1875,153.84375,457.625,65.65625,208.5,48.3125,0.5555555555555556,0.4166666666666667,0.5,0.52,0.148,0.28,0.29131772551751883
Charlotte Hornets,0.3766551724137931,-84.62068965517241,1173.6896551724137,0.4453448275862069,267.2758620689655,171.6551724137931,475.2068965517241,76.37931034482759,220.20689655172413,48.03448275862069,0.32258064516129037,0.3823529411764705,0.455,0.504,0.15,0.28,0.2392967480212178
Chicago Bulls,0.28700000000000003,-24.516129032258064,990.741935483871,0.4207741935483871,213.38709677419354,140.09677419354838,408.5483870967742,91.38709677419355,208.93548387096774,40.03225806451613,0.4117647058823529,0.2580645161290322,0.466,0.515,0.153,0.267,0.24456661602474783
Cleveland Cavaliers,0.37453125,-74.0625,977.15625,0.44940625,196.4375,148.6875,416.21875,67.0625,167.84375,31.3125,0.3055555555555556,0.2758620689655172,0.453,0.522,0.165,0.296,0.24718571715877227
Dallas Mavericks,0.6813529411764706,72.97058823529412,1143.235294117647,0.4575,239.6764705882353,128.1764705882353,468.55882352941177,64.67647058823529,191.76470588235293,44.911764705882355,0.5263157894736842,0.6216216216216216,0.521,0.545,0.126,0.275,0.3058321589812036
Denver Nuggets,0.6775,36.375,995.3125,0.4438125,240.0625,129.375,423.0,72.9375,187.75,43.9375,0.7027027027027027,0.5555555555555556,0.517,0.535,0.139,0.294,0.2339041319018461
Detroit Pistons,0.3608125,-26.21875,1040.1875,0.47028125,237.15625,159.46875,407.4375,66.40625,188.03125,47.65625,0.3333333333333333,0.2727272727272727,0.473,0.529,0.155,0.277,0.2835451771523347
Golden State Warriors,0.2411,-84.93333333333334,1092.8333333333333,0.4257666666666667,250.03333333333333,148.4,447.76666666666665,82.83333333333333,200.1,47.166666666666664,0.2352941176470588,0.2258064516129032,0.462,0.497,0.146,0.255,0.2874044586835405
Houston Rockets,0.7057333333333333,52.7,1184.8666666666666,0.4528666666666667,215.06666666666666,149.03333333333333,465.56666666666666,81.6,216.6,48.06666666666667,0.6666666666666666,0.5555555555555556,0.494,0.537,0.14,0.249,0.3260100725540477
Indiana Pacers,0.5042258064516129,40.67741935483871,1095.5806451612902,0.4615483870967742,252.67741935483872,136.61290322580646,444.7741935483871,70.25806451612904,206.1290322580645,52.54838709677419,0.6944444444444444,0.5405405405405406,0.52,0.534,0.132,0.243,0.19927941992178314
LA Clippers,0.6848275862068965,68.82758620689656,1211.6896551724137,0.46872413793103446,246.3448275862069,170.13793103448276,508.86206896551727,82.72413793103448,241.82758620689654,55.241379310344826,0.75,0.6111111111111112,0.532,0.535,0.142,0.278,0.2947944893483622
Los Angeles Lakers,0.7992666666666667,79.43333333333334,1090.8333333333333,0.47309999999999997,254.1,147.5,437.1333333333333,82.93333333333334,198.86666666666667,71.26666666666667,0.7142857142857143,0.75,0.539,0.542,0.149,0.283,0.26381192641148615
