GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Home,Team1Win,Month,Season,Team1_W_PCT,Team1_PIE,Team1_eFG%,Team1_TOV%,Team1_ORB%,Team1_FTR,Team2_W_PCT,Team2_PIE,Team2_eFG%,Team2_TOV%,Team2_ORB%,Team2_FTR,SeasonKey
21900001,2019-10-22,new orleans pelicans,toronto raptors,122,130,0.422,0.408,30,23,53,57,19,16,-8.0,8.0,0,0,10,2019-20,1.0,0.658,0.565,0.138,0.22,0.775,0.667,0.516,0.525,0.203,0.259,0.756,2019_20
21900002,2019-10-22,la clippers,los angeles lakers,112,102,0.519,0.435,24,20,45,41,14,14,10.0,-10.0,1,1,10,2019-20,0.667,0.522,0.51,0.14,0.239,0.7,0.667,0.537,0.576,0.154,0.275,0.742,2019_20
21900003,2019-10-23,charlotte hornets,chicago bulls,126,125,0.511,0.467,28,25,41,49,19,10,1.0,-1.0,1,1,10,2019-20,0.333,0.494,0.54,0.134,0.28,0.817,0.4,0.469,0.514,0.137,0.282,0.723,2019_20
21900004,2019-10-23,detroit pistons,indiana pacers,119,110,0.526,0.461,26,26,45,36,18,15,9.0,-9.0,0,1,10,2019-20,0.0,0.421,0.516,0.14,0.273,0.676,0.667,0.489,0.507,0.143,0.237,0.831,2019_20
21900005,2019-10-23,cleveland cavaliers,orlando magic,85,94,0.375,0.43,20,24,54,46,16,13,-9.0,9.0,0,0,10,2019-20,0.4,0.488,0.55,0.155,0.275,0.72,0.333,0.459,0.458,0.115,0.316,0.805,2019_20
21900006,2019-10-23,brooklyn nets,minnesota timberwolves,126,127,0.475,0.426,19,23,48,52,16,13,-1.0,1.0,1,0,10,2019-20,0.333,0.451,0.481,0.143,0.216,0.671,0.333,0.454,0.529,0.145,0.253,0.724,2019_20
21900007,2019-10-23,memphis grizzlies,miami heat,101,120,0.427,0.471,22,18,40,51,24,21,-19.0,19.0,0,0,10,2019-20,0.333,0.483,0.494,0.176,0.265,0.737,0.333,0.481,0.519,0.171,0.168,0.802,2019_20
21900008,2019-10-23,boston celtics,philadelphia 76ers,93,107,0.367,0.435,18,24,41,62,10,15,-14.0,14.0,0,0,10,2019-20,0.333,0.453,0.525,0.17,0.212,0.625,0.333,0.507,0.453,0.142,0.27,0.69,2019_20
21900009,2019-10-23,dallas mavericks,washington wizards,108,100,0.461,0.398,17,26,46,47,19,17,8.0,-8.0,1,1,10,2019-20,0.667,0.49,0.528,0.123,0.215,0.7,0.0,0.428,0.442,0.137,0.298,0.663,2019_20
21900010,2019-10-23,new york knicks,san antonio spurs,111,120,0.468,0.506,24,22,39,51,14,21,-9.0,9.0,0,0,10,2019-20,0.5,0.513,0.53,0.142,0.304,0.731,0.333,0.483,0.515,0.184,0.27,0.838,2019_20
