GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Win
0022200001,2022-10-18,boston celtics,philadelphia 76ers,126,117,0.561,0.5,24,16,36,31,10,14,9.0,-9.0,1
0022200002,2022-10-18,golden state warriors,los angeles lakers,123,109,0.455,0.426,31,23,48,48,18,21,14.0,-14.0,1
0022200003,2022-10-19,detroit pistons,orlando magic,113,109,0.426,0.488,31,21,41,48,12,18,4.0,-4.0,1
0022200004,2022-10-19,indiana pacers,washington wizards,107,114,0.402,0.457,21,21,42,53,15,16,-7.0,7.0,0
0022200005,2022-10-19,atlanta hawks,houston rockets,117,107,0.5,0.429,30,25,38,54,9,15,10.0,-10.0,1
0022200006,2022-10-19,brooklyn nets,new orleans pelicans,108,130,0.449,0.49,22,31,39,61,16,12,-22.0,22.0,0
0022200007,2022-10-19,chicago bulls,miami heat,116,108,0.441,0.463,23,21,46,46,14,19,8.0,-8.0,1
0022200008,2022-10-19,cleveland cavaliers,toronto raptors,105,108,0.494,0.419,25,19,38,41,17,13,-3.0,3.0,0
0022200009,2022-10-19,memphis grizzlies,new york knicks,115,112,0.389,0.404,27,28,64,54,13,12,3.0,-3.0,1
0022200010,2022-10-19,minnesota timberwolves,oklahoma city thunder,115,108,0.415,0.384,25,22,55,57,14,13,7.0,-7.0,1
0022200011,2022-10-19,charlotte hornets,san antonio spurs,129,102,0.511,0.404,26,22,51,44,15,15,27.0,-27.0,1
0022200012,2022-10-19,denver nuggets,utah jazz,102,123,0.482,0.506,21,27,35,43,21,19,-21.0,21.0,0
0022200013,2022-10-19,dallas mavericks,phoenix suns,105,107,0.467,0.471,17,25,40,40,12,12,-2.0,2.0,0
0022200014,2022-10-19,portland trail blazers,sacramento kings,115,108,0.443,0.459,20,27,44,41,11,15,7.0,-7.0,1
0022200015,2022-10-20,milwaukee bucks,philadelphia 76ers,90,88,0.405,0.434,24,17,48,44,12,10,2.0,-2.0,1
0022200016,2022-10-20,la clippers,los angeles lakers,103,97,0.463,0.351,18,23,58,38,22,10,6.0,-6.0,1
0022200017,2022-10-21,charlotte hornets,new orleans pelicans,112,124,0.454,0.472,30,23,37,53,13,15,-12.0,12.0,0
0022200018,2022-10-21,indiana pacers,san antonio spurs,134,137,0.49,0.543,32,34,42,37,16,17,-3.0,3.0,0
0022200019,2022-10-21,chicago bulls,washington wizards,100,102,0.418,0.513,19,26,38,39,13,16,-2.0,2.0,0
0022200020,2022-10-21,atlanta hawks,orlando magic,108,98,0.449,0.413,26,16,46,44,17,19,10.0,-10.0,1
0022200021,2022-10-21,brooklyn nets,toronto raptors,109,105,0.475,0.488,26,25,44,41,13,13,4.0,-4.0,1
0022200022,2022-10-21,boston celtics,miami heat,111,104,0.519,0.457,17,23,43,36,19,9,7.0,-7.0,1
0022200023,2022-10-21,detroit pistons,new york knicks,106,130,0.433,0.526,26,29,49,50,15,12,-24.0,24.0,0
0022200024,2022-10-21,houston rockets,memphis grizzlies,122,129,0.473,0.459,18,26,45,50,14,12,-7.0,7.0,0
0022200025,2022-10-21,minnesota timberwolves,utah jazz,126,132,0.458,0.441,20,39,60,54,20,13,-6.0,6.0,0
0022200026,2022-10-21,denver nuggets,golden state warriors,128,123,0.535,0.477,30,34,41,35,20,18,5.0,-5.0,1
0022200027,2022-10-21,phoenix suns,portland trail blazers,111,113,0.457,0.439,31,14,41,48,16,18,-2.0,2.0,0
0022200028,2022-10-22,philadelphia 76ers,san antonio spurs,105,114,0.44,0.483,26,27,40,43,12,14,-9.0,9.0,0
0022200029,2022-10-22,detroit pistons,indiana pacers,115,124,0.389,0.437,26,28,53,59,13,11,-9.0,9.0,0
0022200030,2022-10-22,boston celtics,orlando magic,126,120,0.483,0.474,24,21,37,48,8,9,6.0,-6.0,1
0022200031,2022-10-22,miami heat,toronto raptors,112,109,0.5,0.425,28,24,44,37,15,6,3.0,-3.0,1
0022200032,2022-10-22,chicago bulls,cleveland cavaliers,96,128,0.405,0.565,19,32,35,48,10,17,-32.0,32.0,0
0022200033,2022-10-22,houston rockets,milwaukee bucks,105,125,0.387,0.565,20,29,47,47,12,16,-20.0,20.0,0
0022200034,2022-10-22,dallas mavericks,memphis grizzlies,137,96,0.5,0.43,23,20,52,29,15,17,41.0,-41.0,1
0022200035,2022-10-22,denver nuggets,oklahoma city thunder,122,117,0.494,0.447,33,29,46,47,18,12,5.0,-5.0,1
0022200036,2022-10-22,la clippers,sacramento kings,111,109,0.506,0.471,24,24,40,39,13,12,2.0,-2.0,1
0022200037,2022-10-23,los angeles lakers,portland trail blazers,104,106,0.446,0.44,26,19,40,52,13,19,-2.0,2.0,0
0022200038,2022-10-23,atlanta hawks,charlotte hornets,109,126,0.411,0.522,23,28,45,52,12,13,-17.0,17.0,0
