TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Season,Month,SeasonType
1610612737,Atlanta Hawks,5,3,2,0.6,240.0,101.1,102.9,103.9,105.4,-2.9,-2.5,0.658,1.23,17.9,0.278,0.788,0.527,0.2,0.528,0.562,106.2,104.6,87.17,524,0.482,2,7,11,10,7,26,12,23,12,30,18,21,1,8,31,18,16,16,23,2023-24,1,Pre Season
1610612738,Boston Celtics,5,4,1,0.8,240.0,112.4,115.4,103.2,105.2,9.2,10.3,0.587,1.53,17.2,0.323,0.732,0.531,0.158,0.544,0.578,103.2,100.9,84.08,505,0.546,2,2,4,4,7,4,11,4,29,14,25,5,10,5,14,8,9,29,6,2023-24,1,Pre Season
15020,Breakers,2,0,2,0.0,96.0,78.3,78.4,107.5,107.8,-29.3,-29.4,0.545,0.71,12.0,0.187,0.686,0.409,0.206,0.395,0.454,102.2,102.0,85.0,204,0.283,32,32,11,32,32,35,20,32,33,34,35,35,28,35,32,35,34,26,33,2023-24,1,Pre Season
1610612751,Brooklyn Nets,4,2,2,0.5,192.0,112.5,116.0,105.4,109.2,7.1,6.8,0.633,1.4,18.0,0.285,0.696,0.505,0.179,0.567,0.607,109.0,105.5,87.92,420,0.539,17,14,11,15,19,2,23,8,20,25,17,19,25,17,25,4,2,11,9,2023-24,1,Pre Season
1610612766,Charlotte Hornets,4,1,3,0.25,192.0,95.4,97.2,102.5,104.9,-7.2,-7.7,0.584,1.18,15.6,0.27,0.727,0.503,0.177,0.468,0.51,109.9,107.63,89.69,429,0.461,17,23,23,24,19,32,10,29,30,31,31,26,12,18,24,32,31,2,28,2023-24,1,Pre Season
1610612741,Chicago Bulls,5,1,4,0.2,250.0,104.2,105.6,107.4,109.3,-3.2,-3.7,0.631,1.53,17.6,0.337,0.722,0.508,0.165,0.496,0.529,100.6,99.07,82.56,515,0.458,2,23,33,30,2,20,24,26,22,13,21,3,14,15,15,27,26,33,29,2023-24,1,Pre Season
1610612739,Cleveland Cavaliers,4,1,3,0.25,192.0,100.5,103.6,95.5,98.1,5.0,5.5,0.713,1.37,19.5,0.215,0.76,0.496,0.195,0.542,0.576,108.4,105.38,87.81,421,0.523,17,23,23,24,19,25,4,9,4,26,5,34,3,20,29,11,12,12,12,2023-24,1,Pre Season
1610612742,Dallas Mavericks,4,1,3,0.25,192.0,99.3,104.3,103.8,107.2,-4.5,-2.9,0.591,1.52,16.0,0.275,0.651,0.46,0.145,0.492,0.519,108.1,103.75,86.46,414,0.469,17,23,23,24,19,23,17,24,26,15,29,22,33,32,6,28,29,18,26,2023-24,1,Pre Season
1610612743,Denver Nuggets,5,3,2,0.6,250.0,108.5,112.0,108.4,109.8,0.2,2.2,0.696,1.71,19.9,0.289,0.658,0.479,0.166,0.553,0.585,98.2,96.0,80.0,501,0.516,2,7,11,10,2,8,28,16,8,9,2,16,31,23,16,6,7,34,14,2023-24,1,Pre Season
1610612765,Detroit Pistons,4,2,2,0.5,197.0,108.2,108.2,109.5,109.5,-1.2,-1.3,0.657,1.55,18.6,0.266,0.768,0.525,0.166,0.544,0.576,107.6,107.57,89.64,440,0.488,17,14,11,15,17,16,27,19,13,12,10,29,2,10,18,8,11,3,22,2023-24,1,Pre Season
12325,Flamengo,1,0,1,0.0,48.0,82.3,81.7,117.0,116.0,-34.7,-34.2,0.567,0.63,13.9,0.295,0.707,0.494,0.29,0.479,0.497,92.8,93.5,77.92,93,0.247,34,32,4,32,34,33,31,34,31,35,33,13,21,21,35,30,33,35,34,2023-24,1,Pre Season
1610612744,Golden State Warriors,5,4,1,0.8,238.0,110.7,111.7,105.9,108.7,4.9,3.0,0.66,1.52,18.3,0.3,0.753,0.541,0.172,0.56,0.595,108.1,106.19,88.49,529,0.521,2,2,4,4,16,9,22,13,10,16,13,11,6,3,20,5,5,7,13,2023-24,1,Pre Season
1610612745,Houston Rockets,5,4,1,0.8,240.0,103.4,104.5,92.8,95.1,10.6,9.5,0.634,1.5,16.9,0.296,0.753,0.525,0.155,0.491,0.54,107.5,105.6,88.0,530,0.574,2,2,4,4,7,21,2,6,19,17,26,12,5,9,11,29,24,9,5,2023-24,1,Pre Season
1610612754,Indiana Pacers,4,2,2,0.5,197.0,100.6,104.4,104.5,107.6,-3.9,-3.2,0.733,1.57,19.3,0.294,0.735,0.511,0.174,0.504,0.542,108.7,105.14,87.61,431,0.491,17,14,11,15,17,22,19,25,1,11,6,14,9,14,21,24,23,13,20,2023-24,1,Pre Season
1610612746,LA Clippers,4,2,2,0.5,192.0,100.5,101.3,99.8,102.0,0.6,-0.8,0.562,1.41,15.7,0.3,0.707,0.501,0.153,0.477,0.516,101.1,99.63,83.02,400,0.499,17,14,11,15,19,29,6,18,32,23,30,10,22,19,9,31,30,31,17,2023-24,1,Pre Season
1610612747,Los Angeles Lakers,6,2,4,0.333,281.0,101.6,102.8,107.5,109.4,-5.9,-6.6,0.602,1.34,16.5,0.221,0.718,0.47,0.166,0.53,0.558,110.1,108.47,90.39,637,0.474,1,14,33,23,1,28,25,28,25,27,28,33,15,30,19,17,20,1,25,2023-24,1,Pre Season
50009,Maccabi Ra'anana,3,0,3,0.0,144.0,96.0,99.3,126.2,129.3,-30.2,-29.9,0.539,1.41,15.1,0.273,0.645,0.439,0.144,0.468,0.501,104.5,101.5,84.58,305,0.343,31,32,23,32,31,30,34,33,34,24,32,25,34,34,5,33,32,27,32,2023-24,1,Pre Season
1610612763,Memphis Grizzlies,5,2,3,0.4,245.0,104.1,106.9,103.8,108.6,0.3,-1.7,0.646,1.63,18.2,0.258,0.688,0.478,0.154,0.524,0.557,109.3,105.5,87.92,540,0.492,2,14,23,20,4,19,21,21,17,10,16,30,27,24,10,19,22,10,19,2023-24,1,Pre Season
1610612748,Miami Heat,5,2,3,0.4,240.0,103.9,107.7,109.5,110.0,-5.5,-2.3,0.604,1.33,17.3,0.319,0.756,0.536,0.182,0.522,0.559,105.6,103.5,86.25,517,0.479,2,14,23,20,7,18,29,22,24,28,24,7,4,4,27,20,19,21,24,2023-24,1,Pre Season
1610612749,Milwaukee Bucks,5,3,2,0.6,240.0,99.8,102.9,101.9,104.4,-2.1,-1.5,0.66,1.49,17.7,0.292,0.751,0.516,0.166,0.499,0.528,107.8,104.9,87.42,525,0.49,2,7,11,10,7,27,9,20,11,18,20,15,7,13,17,26,27,14,21,2023-24,1,Pre Season
1610612750,Minnesota Timberwolves,5,5,0,1.0,240.0,112.4,115.7,99.9,103.2,12.5,12.6,0.719,1.71,21.1,0.321,0.711,0.527,0.179,0.58,0.606,104.7,101.5,84.58,508,0.579,2,1,1,1,7,3,7,3,2,8,1,6,19,7,26,1,3,27,3,2023-24,1,Pre Season
