TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Season,Month,SeasonType
1610612737,Atlanta Hawks,4,2,2,0.5,48.0,36.0,90.3,0.399,12.8,39.3,0.325,28.0,35.0,0.8,11.8,42.0,53.8,24.0,17.8,7.3,3.3,6.3,24.0,27.0,112.8,-4.0,1,7,15,14,3,26,13,29,15,11,22,1,3,2,4,3,2,14,13,23,23,24,15,5,9,18,2020-21,3,Pre Season
1610612738,Boston Celtics,2,0,2,0.0,48.0,34.0,87.5,0.389,9.5,42.0,0.226,16.5,21.5,0.767,11.5,33.5,45.0,18.5,21.0,10.0,6.0,6.5,24.5,21.5,94.0,-16.5,26,25,15,25,3,29,20,30,28,7,30,19,23,8,5,27,18,30,26,9,8,26,19,21,29,29,2020-21,3,Pre Season
1610612751,Brooklyn Nets,2,2,0,1.0,48.0,38.0,81.0,0.469,15.0,32.5,0.462,25.0,36.0,0.694,6.5,40.5,47.0,24.5,18.0,9.0,8.0,3.0,19.5,28.0,116.0,14.5,26,7,1,1,3,18,26,7,6,26,2,3,2,25,28,6,12,10,16,15,1,4,4,2,6,4,2020-21,3,Pre Season
1610612766,Charlotte Hornets,4,1,3,0.25,48.0,39.3,88.3,0.445,14.5,36.8,0.395,19.3,26.3,0.733,9.3,37.5,46.8,27.5,19.8,7.3,4.3,5.0,22.0,23.0,112.3,-2.3,1,19,24,23,3,11,17,11,11,19,6,13,12,15,19,14,13,4,24,23,19,19,13,17,11,15,2020-21,3,Pre Season
1610612741,Chicago Bulls,4,3,1,0.75,48.0,41.0,92.3,0.444,11.8,37.0,0.318,15.5,22.8,0.681,12.5,45.0,57.5,24.8,18.5,6.5,5.3,6.3,18.5,20.8,109.3,3.8,1,2,6,6,3,5,4,12,24,16,23,26,19,29,3,1,1,8,19,26,13,24,2,23,17,11,2020-21,3,Pre Season
1610612739,Cleveland Cavaliers,4,2,2,0.5,48.0,34.8,77.3,0.45,11.5,29.5,0.39,18.8,26.3,0.714,9.8,35.0,44.8,21.8,24.0,8.0,4.3,5.8,25.3,24.0,99.8,-7.5,1,7,15,14,3,27,30,10,25,29,7,14,12,19,10,24,20,23,30,19,19,22,21,13,26,24,2020-21,3,Pre Season
1610612742,Dallas Mavericks,3,2,1,0.667,49.7,42.3,97.7,0.433,19.7,44.3,0.444,18.0,22.0,0.818,9.7,38.7,48.3,25.7,12.3,4.3,4.0,8.0,20.7,26.0,122.3,8.0,14,7,6,10,1,3,1,17,1,3,3,16,20,1,13,10,11,5,1,30,21,30,7,7,1,9,2020-21,3,Pre Season
1610612743,Denver Nuggets,3,2,1,0.667,48.0,43.3,91.3,0.474,14.7,38.3,0.383,18.7,25.0,0.747,13.3,38.7,52.0,29.7,17.7,9.3,6.7,4.3,25.3,25.7,120.0,20.7,14,7,6,10,3,1,10,6,8,13,9,15,14,13,2,10,3,1,12,11,6,15,22,8,3,1,2020-21,3,Pre Season
1610612765,Detroit Pistons,4,2,2,0.5,48.0,33.0,80.5,0.41,12.3,37.5,0.327,15.8,22.0,0.716,7.3,36.8,44.0,19.5,21.5,11.8,2.5,3.8,21.3,21.3,94.0,2.5,1,7,15,14,3,30,27,26,18,15,21,25,20,18,26,17,22,28,28,3,29,10,10,22,29,13,2020-21,3,Pre Season
1610612744,Golden State Warriors,3,2,1,0.667,48.0,38.3,89.3,0.429,14.7,42.0,0.349,19.7,27.3,0.72,8.0,40.7,48.7,24.3,17.0,10.0,7.7,7.0,27.0,23.7,111.0,3.0,14,7,6,10,3,14,15,18,8,7,15,11,11,17,23,5,9,12,10,9,2,27,25,15,12,12,2020-21,3,Pre Season
1610612745,Houston Rockets,4,3,1,0.75,48.0,40.5,92.5,0.438,17.0,46.8,0.364,16.0,20.8,0.771,8.8,38.0,46.8,22.3,13.3,10.3,6.8,4.3,24.3,18.5,114.0,11.0,1,2,6,6,3,7,3,15,4,2,11,22,27,7,20,13,13,21,3,8,4,13,17,30,8,5,2020-21,3,Pre Season
1610612754,Indiana Pacers,3,0,3,0.0,48.0,38.0,92.0,0.413,14.3,42.0,0.341,15.3,23.0,0.667,11.3,27.3,38.7,23.7,17.0,10.7,2.7,4.3,29.7,26.3,105.7,-6.3,14,25,24,25,3,18,6,25,12,7,18,28,18,30,6,30,30,16,10,5,27,15,29,6,21,22,2020-21,3,Pre Season
1610612746,LA Clippers,3,0,3,0.0,48.0,34.7,81.3,0.426,12.0,33.7,0.356,16.0,21.3,0.75,7.7,34.3,42.0,21.7,18.7,5.3,5.3,2.3,24.3,20.0,97.3,-17.0,14,25,24,25,3,28,25,19,20,24,12,22,25,12,24,25,28,24,21,28,12,1,18,27,28,30,2020-21,3,Pre Season
1610612747,Los Angeles Lakers,4,4,0,1.0,48.0,39.0,82.0,0.476,12.8,25.5,0.5,20.3,28.8,0.704,6.8,36.0,42.8,22.0,15.8,9.0,2.8,4.8,20.0,27.3,111.0,9.3,1,1,1,1,3,12,23,5,15,30,1,9,7,23,27,19,27,22,8,15,26,18,5,4,12,8,2020-21,3,Pre Season
1610612763,Memphis Grizzlies,4,3,1,0.75,48.0,41.5,92.0,0.451,15.0,42.8,0.351,20.5,28.8,0.713,9.8,40.5,50.3,28.3,18.3,10.8,6.8,5.0,24.8,24.5,118.5,10.5,1,2,6,6,3,4,6,9,6,5,14,8,7,21,10,6,8,2,18,4,4,19,20,11,4,6,2020-21,3,Pre Season
1610612748,Miami Heat,2,1,1,0.5,48.0,37.0,77.5,0.477,16.0,41.5,0.386,14.5,19.0,0.763,5.5,37.5,43.0,28.0,20.0,6.0,3.0,2.5,26.0,20.0,104.5,-5.0,26,19,6,14,3,22,29,3,5,10,8,29,30,10,30,14,24,3,25,27,24,3,23,27,22,21,2020-21,3,Pre Season
1610612749,Milwaukee Bucks,3,0,3,0.0,48.0,39.7,90.0,0.441,10.3,37.0,0.279,19.3,24.3,0.795,9.3,37.0,46.3,24.7,15.3,5.3,6.0,3.3,26.7,20.7,109.0,-13.3,14,25,24,25,3,9,14,13,27,16,29,12,16,5,17,16,15,9,6,28,8,7,24,25,18,26,2020-21,3,Pre Season
1610612750,Minnesota Timberwolves,3,1,2,0.333,49.7,38.3,90.3,0.424,12.7,37.0,0.342,23.3,31.0,0.753,9.7,41.3,51.0,21.3,21.0,9.3,7.3,7.7,27.3,23.7,112.7,-6.3,14,19,15,20,1,14,12,21,17,16,17,4,6,11,13,4,5,25,26,11,3,29,26,15,10,22,2020-21,3,Pre Season
1610612740,New Orleans Pelicans,2,2,0,1.0,48.0,41.0,85.5,0.48,12.0,35.5,0.338,26.5,37.5,0.707,15.0,36.0,51.0,22.5,12.5,7.5,4.5,4.0,19.0,29.0,120.5,18.0,26,7,1,1,3,5,21,2,20,21,19,2,1,22,1,19,5,19,2,21,16,11,3,1,2,2,2020-21,3,Pre Season
1610612752,New York Knicks,4,3,1,0.75,48.0,37.0,81.5,0.454,9.0,29.8,0.303,17.0,24.8,0.687,9.8,35.5,45.3,24.3,18.5,10.5,5.8,4.3,23.0,24.5,100.0,10.3,1,2,6,6,3,22,24,8,29,28,27,18,15,26,10,22,17,13,19,6,10,13,14,11,25,7,2020-21,3,Pre Season
1610612760,Oklahoma City Thunder,3,1,2,0.333,48.0,39.0,91.7,0.425,14.7,35.3,0.415,16.3,21.3,0.766,9.3,42.3,51.7,21.3,18.0,8.0,4.0,5.7,17.3,20.3,109.0,-3.3,14,19,15,20,3,12,9,20,8,22,4,20,25,9,17,2,4,25,16,19,21,21,1,26,18,17,2020-21,3,Pre Season
1610612753,Orlando Magic,4,2,2,0.5,48.0,42.8,97.0,0.441,13.0,38.8,0.335,16.0,21.5,0.744,11.3,39.8,51.0,24.5,14.8,8.8,5.5,3.3,21.3,23.0,114.5,-2.5,1,7,15,14,3,2,2,14,13,12,20,22,23,14,7,8,5,10,5,17,11,6,10,17,7,16,2020-21,3,Pre Season
