TEAM_NAME,Season,Month,TEAM_ID_base,GP_base,W_base,L_base,W_PCT_base,MIN_base,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK_base,W_RANK_base,L_RANK_base,W_PCT_RANK_base,MIN_RANK_base,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SeasonType_base,TEAM_ID_adv,GP_adv,W_adv,L_adv,W_PCT_adv,MIN_adv,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK_adv,W_RANK_adv,L_RANK_adv,W_PCT_RANK_adv,MIN_RANK_adv,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonType_adv
atlanta hawks,2021-22,1,1610612737.0,4.0,2.0,2.0,0.5,48.0,38.0,90.5,0.42,12.8,35.3,0.362,14.5,17.5,0.829,9.3,36.0,45.3,25.3,15.8,10.0,5.0,6.5,20.0,19.3,103.3,2.5,10.0,13.0,10.0,12.0,4.0,20.0,14.0,25.0,13.0,18.0,10.0,19.0,25.0,4.0,19.0,19.0,20.0,10.0,8.0,9.0,17.0,22.0,13.0,18.0,24.0,13.0,Pre Season,1610612737.0,4.0,2.0,2.0,0.5,192.0,98.6,100.2,97.3,98.1,1.3,2.2,0.664,1.6,18.0,0.239,0.739,0.485,0.153,0.49,0.526,104.1,102.88,85.73,412.0,0.51,10.0,13.0,10.0,12.0,12.0,22.0,6.0,13.0,4.0,8.0,7.0,21.0,17.0,21.0,10.0,24.0,23.0,18.0,11.0,Pre Season
boston celtics,2021-22,1,1610612738.0,4.0,2.0,2.0,0.5,48.0,36.3,86.0,0.422,14.5,40.0,0.363,16.3,19.5,0.833,9.0,36.3,45.3,22.8,17.8,8.5,5.8,6.8,18.3,19.0,103.3,-4.8,10.0,13.0,10.0,12.0,4.0,27.0,25.0,23.0,7.0,8.0,8.0,13.0,17.0,3.0,20.0,16.0,20.0,20.0,19.0,18.0,13.0,25.0,6.0,19.0,24.0,18.0,Pre Season,1610612738.0,4.0,2.0,2.0,0.5,192.0,99.9,101.2,102.2,106.4,-2.3,-5.2,0.628,1.28,16.6,0.237,0.714,0.479,0.174,0.506,0.546,104.5,101.75,84.79,408.0,0.486,10.0,13.0,10.0,12.0,12.0,21.0,18.0,20.0,10.0,21.0,20.0,23.0,24.0,27.0,21.0,21.0,16.0,23.0,18.0,Pre Season
brooklyn nets,2021-22,1,1610612751.0,4.0,3.0,1.0,0.75,48.0,40.8,83.3,0.489,13.8,33.8,0.407,18.0,23.5,0.766,9.0,34.8,43.8,22.3,19.3,9.3,5.0,4.3,21.8,22.0,113.3,6.3,10.0,7.0,6.0,7.0,4.0,12.0,28.0,1.0,11.0,22.0,1.0,5.0,5.0,12.0,20.0,24.0,27.0,23.0,25.0,13.0,17.0,4.0,21.0,5.0,9.0,10.0,Pre Season,1610612751.0,4.0,3.0,1.0,0.75,192.0,109.1,109.4,101.7,103.4,7.4,6.0,0.546,1.16,16.3,0.249,0.705,0.492,0.186,0.572,0.605,104.5,103.5,86.25,414.0,0.538,10.0,7.0,6.0,7.0,12.0,5.0,14.0,10.0,27.0,26.0,23.0,17.0,25.0,16.0,27.0,1.0,1.0,16.0,9.0,Pre Season
charlotte hornets,2021-22,1,1610612766.0,4.0,1.0,3.0,0.25,48.0,35.8,89.5,0.399,8.5,32.5,0.262,13.3,19.3,0.688,11.0,34.3,45.3,21.3,19.3,9.0,5.5,6.0,20.8,21.0,93.3,-20.8,10.0,20.0,18.0,20.0,4.0,29.0,17.0,29.0,30.0,26.0,29.0,23.0,19.0,27.0,10.0,27.0,20.0,27.0,25.0,15.0,15.0,18.0,18.0,11.0,29.0,29.0,Pre Season,1610612766.0,4.0,1.0,3.0,0.25,192.0,87.8,89.7,107.7,109.6,-19.9,-20.0,0.594,1.1,15.3,0.253,0.693,0.466,0.185,0.447,0.476,106.0,104.0,86.67,416.0,0.39,10.0,20.0,18.0,20.0,12.0,29.0,26.0,29.0,18.0,28.0,28.0,15.0,27.0,29.0,26.0,30.0,30.0,14.0,29.0,Pre Season
chicago bulls,2021-22,1,1610612741.0,4.0,4.0,0.0,1.0,48.0,44.8,97.3,0.46,11.5,31.8,0.362,17.0,20.8,0.819,11.5,41.0,52.5,28.0,12.8,12.5,6.5,6.0,20.3,18.3,118.0,21.5,10.0,3.0,1.0,1.0,4.0,1.0,1.0,6.0,23.0,28.0,9.0,7.0,13.0,5.0,8.0,2.0,2.0,3.0,2.0,4.0,6.0,18.0,15.0,23.0,2.0,2.0,Pre Season,1610612741.0,4.0,4.0,0.0,1.0,192.0,109.6,111.1,89.5,91.3,20.2,19.8,0.626,2.2,18.7,0.29,0.743,0.523,0.12,0.519,0.555,107.7,106.0,88.33,425.0,0.615,10.0,3.0,1.0,1.0,12.0,3.0,1.0,2.0,11.0,3.0,4.0,6.0,15.0,5.0,2.0,13.0,11.0,8.0,3.0,Pre Season
cleveland cavaliers,2021-22,1,1610612739.0,5.0,2.0,3.0,0.4,48.0,36.8,82.8,0.444,10.6,30.6,0.346,16.8,25.6,0.656,8.8,34.6,43.4,24.0,19.8,10.2,4.8,6.6,16.6,23.2,101.0,-5.4,4.0,13.0,18.0,19.0,4.0,24.0,29.0,13.0,25.0,30.0,14.0,9.0,3.0,30.0,24.0,25.0,28.0,13.0,27.0,8.0,20.0,24.0,2.0,3.0,26.0,20.0,Pre Season,1610612739.0,5.0,2.0,3.0,0.4,240.0,96.1,98.2,101.3,103.1,-5.1,-4.9,0.652,1.21,17.2,0.257,0.699,0.485,0.193,0.508,0.537,105.1,103.0,85.83,514.0,0.478,4.0,13.0,18.0,19.0,5.0,24.0,13.0,19.0,5.0,25.0,12.0,12.0,26.0,22.0,29.0,19.0,19.0,17.0,22.0,Pre Season
dallas mavericks,2021-22,1,1610612742.0,4.0,4.0,0.0,1.0,48.0,44.8,94.3,0.475,12.5,37.0,0.338,16.5,22.5,0.733,14.3,42.8,57.0,29.8,13.0,9.8,6.5,4.5,20.3,20.8,118.5,24.3,10.0,3.0,1.0,1.0,4.0,1.0,6.0,5.0,16.0,14.0,21.0,12.0,9.0,20.0,1.0,1.0,1.0,2.0,3.0,12.0,6.0,9.0,15.0,13.0,1.0,1.0,Pre Season,1610612742.0,4.0,4.0,0.0,1.0,192.0,115.2,115.9,89.6,92.6,25.6,23.3,0.665,2.29,20.0,0.33,0.761,0.556,0.127,0.541,0.569,104.1,102.0,85.0,409.0,0.651,10.0,3.0,1.0,1.0,12.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,8.0,1.0,4.0,5.0,5.0,22.0,1.0,Pre Season
denver nuggets,2021-22,1,1610612743.0,5.0,1.0,4.0,0.2,50.0,38.6,89.2,0.433,15.6,45.2,0.345,15.6,21.0,0.743,8.2,36.6,44.8,24.8,16.8,8.0,6.8,4.4,21.8,20.6,108.4,-1.6,4.0,20.0,26.0,26.0,1.0,17.0,19.0,19.0,4.0,5.0,16.0,16.0,12.0,16.0,30.0,15.0,25.0,12.0,15.0,22.0,4.0,8.0,25.0,14.0,16.0,16.0,Pre Season,1610612743.0,5.0,1.0,4.0,0.2,250.0,101.3,103.2,104.1,106.0,-2.8,-2.7,0.642,1.48,17.5,0.228,0.765,0.489,0.16,0.52,0.551,102.1,100.22,83.52,525.0,0.483,4.0,20.0,26.0,26.0,4.0,17.0,17.0,17.0,6.0,14.0,11.0,27.0,7.0,17.0,14.0,11.0,13.0,28.0,20.0,Pre Season
detroit pistons,2021-22,1,1610612765.0,4.0,2.0,2.0,0.5,48.0,38.3,84.0,0.455,9.8,31.5,0.31,18.5,23.3,0.796,9.0,34.3,43.3,22.5,17.0,6.5,6.3,5.0,18.0,21.8,104.8,-7.3,10.0,13.0,10.0,12.0,4.0,19.0,27.0,7.0,28.0,29.0,24.0,3.0,6.0,7.0,20.0,27.0,29.0,21.0,16.0,29.0,10.0,12.0,4.0,8.0,20.0,22.0,Pre Season,1610612765.0,4.0,2.0,2.0,0.5,192.0,102.5,104.5,109.5,111.4,-7.0,-7.0,0.588,1.32,16.8,0.233,0.668,0.462,0.17,0.513,0.556,102.3,100.38,83.65,401.0,0.479,10.0,13.0,10.0,12.0,12.0,16.0,28.0,22.0,20.0,19.0,15.0,25.0,30.0,30.0,18.0,17.0,9.0,27.0,21.0,Pre Season
golden state warriors,2021-22,1,1610612744.0,5.0,5.0,0.0,1.0,48.0,42.4,95.8,0.443,18.4,53.2,0.346,14.8,19.8,0.747,10.0,37.8,47.8,29.8,15.8,13.4,4.4,5.0,19.2,20.8,118.0,11.4,4.0,1.0,1.0,1.0,4.0,6.0,2.0,16.0,1.0,1.0,15.0,18.0,16.0,14.0,13.0,11.0,9.0,1.0,10.0,2.0,25.0,12.0,10.0,12.0,2.0,5.0,Pre Season,1610612744.0,5.0,5.0,0.0,1.0,240.0,107.0,108.1,95.6,98.2,11.4,9.9,0.703,1.89,19.6,0.238,0.768,0.494,0.145,0.539,0.565,110.9,108.9,90.75,546.0,0.56,4.0,1.0,1.0,1.0,5.0,9.0,7.0,5.0,1.0,4.0,2.0,22.0,4.0,15.0,7.0,6.0,7.0,1.0,4.0,Pre Season
