GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Win
0022100001,2021-10-19,brooklyn nets,milwaukee bucks,104,127,0.44,0.457,19,25,44,54,12,7,-23.0,23.0,0
0022100002,2021-10-19,golden state warriors,los angeles lakers,121,114,0.441,0.474,30,21,50,45,17,17,7.0,-7.0,1
0022100003,2021-10-20,charlotte hornets,indiana pacers,123,122,0.43,0.467,29,29,46,51,8,16,1.0,-1.0,1
0022100004,2021-10-20,chicago bulls,detroit pistons,94,88,0.43,0.4,18,17,48,47,17,16,6.0,-6.0,1
0022100005,2021-10-20,boston celtics,new york knicks,134,138,0.41,0.486,34,27,56,55,18,17,-4.0,4.0,0
0022100006,2021-10-20,toronto raptors,washington wizards,83,98,0.309,0.444,14,20,54,51,19,21,-15.0,15.0,0
0022100007,2021-10-20,cleveland cavaliers,memphis grizzlies,121,132,0.505,0.53,38,28,36,53,10,10,-11.0,11.0,0
0022100008,2021-10-20,houston rockets,minnesota timberwolves,106,124,0.455,0.483,21,26,41,46,24,18,-18.0,18.0,0
0022100009,2021-10-20,new orleans pelicans,philadelphia 76ers,97,117,0.419,0.518,28,24,44,47,13,12,-20.0,20.0,0
0022100010,2021-10-20,orlando magic,san antonio spurs,97,123,0.407,0.5,17,32,44,43,16,8,-26.0,26.0,0
0022100011,2021-10-20,oklahoma city thunder,utah jazz,86,107,0.374,0.44,19,18,50,53,14,10,-21.0,21.0,0
0022100012,2021-10-20,denver nuggets,phoenix suns,110,98,0.53,0.414,25,23,46,45,17,18,12.0,-12.0,1
0022100013,2021-10-20,portland trail blazers,sacramento kings,121,124,0.484,0.457,25,24,49,43,12,10,-3.0,3.0,0
0022100014,2021-10-21,atlanta hawks,dallas mavericks,113,87,0.479,0.333,31,16,55,50,13,15,26.0,-26.0,1
0022100015,2021-10-21,miami heat,milwaukee bucks,137,95,0.531,0.381,28,19,58,38,11,15,42.0,-42.0,1
0022100016,2021-10-21,golden state warriors,la clippers,115,113,0.518,0.438,27,24,53,39,21,7,-3.0,3.0,1
0022100017,2021-10-22,charlotte hornets,cleveland cavaliers,123,112,0.527,0.512,32,26,46,36,18,18,11.0,-11.0,1
0022100018,2021-10-22,new york knicks,orlando magic,121,96,0.5,0.398,34,24,38,46,11,18,25.0,-25.0,1
0022100019,2021-10-22,indiana pacers,washington wizards,134,135,0.536,0.521,28,24,42,38,12,9,-1.0,1.0,0
