Team1,Team2,Team1Score,Team2Score,Team1Home,Team1Win,Team1_TEAM_NAME,Team1_GP,Team1_W,Team1_L,Team1_W_PCT,Team1_MIN,Team1_FGM,Team1_FGA,Team1_FG_PCT,Team1_FG3M,Team1_FG3A,Team1_FG3_PCT,Team1_FTM,Team1_FTA,Team1_FT_PCT,Team1_OREB,Team1_DREB,Team1_REB,Team1_AST,Team1_TOV,Team1_STL,Team1_BLK,Team1_BLKA,Team1_PF,Team1_PFD,Team1_PTS,Team1_PLUS_MINUS,Team1_GP_RANK,Team1_W_RANK,Team1_L_RANK,Team1_W_PCT_RANK,Team1_MIN_RANK,Team1_FGM_RANK,Team1_FGA_RANK,Team1_FG_PCT_RANK,Team1_FG3M_RANK,Team1_FG3A_RANK,Team1_FG3_PCT_RANK,Team1_FTM_RANK,Team1_FTA_RANK,Team1_FT_PCT_RANK,Team1_OREB_RANK,Team1_DREB_RANK,Team1_REB_RANK,Team1_AST_RANK,Team1_TOV_RANK,Team1_STL_RANK,Team1_BLK_RANK,Team1_BLKA_RANK,Team1_PF_RANK,Team1_PFD_RANK,Team1_PTS_RANK,Team1_PLUS_MINUS_RANK,Team2_TEAM_NAME,Team2_GP,Team2_W,Team2_L,Team2_W_PCT,Team2_MIN,Team2_FGM,Team2_FGA,Team2_FG_PCT,Team2_FG3M,Team2_FG3A,Team2_FG3_PCT,Team2_FTM,Team2_FTA,Team2_FT_PCT,Team2_OREB,Team2_DREB,Team2_REB,Team2_AST,Team2_TOV,Team2_STL,Team2_BLK,Team2_BLKA,Team2_PF,Team2_PFD,Team2_PTS,Team2_PLUS_MINUS,Team2_GP_RANK,Team2_W_RANK,Team2_L_RANK,Team2_W_PCT_RANK,Team2_MIN_RANK,Team2_FGM_RANK,Team2_FGA_RANK,Team2_FG_PCT_RANK,Team2_FG3M_RANK,Team2_FG3A_RANK,Team2_FG3_PCT_RANK,Team2_FTM_RANK,Team2_FTA_RANK,Team2_FT_PCT_RANK,Team2_OREB_RANK,Team2_DREB_RANK,Team2_REB_RANK,Team2_AST_RANK,Team2_TOV_RANK,Team2_STL_RANK,Team2_BLK_RANK,Team2_BLKA_RANK,Team2_PF_RANK,Team2_PFD_RANK,Team2_PTS_RANK,Team2_PLUS_MINUS_RANK
Washington Wizards,Orlando Magic,101,122,1,0,Washington Wizards,4,1,3,0.25,192.0,180,376,0.479,58,152,0.382,59,74,0.797,38,137,175,108,64.0,24,21,23,95,83,477,1.0,16,21,18,21,20,16,20,2,9,15,4,28,29,8,28,28,29,10,9,28,19,16,8,28,18,17,Orlando Magic,4,2,2,0.5,192.0,143,362,0.395,38,132,0.288,59,75,0.787,46,145,191,85,48.0,34,23,23,70,76,383,8.0,16,15,11,15,20,30,25,30,27,24,29,28,28,10,16,22,21,30,2,19,14,16,1,30,30,10
New York Knicks,Portland Trail Blazers,117,93,1,1,New York Knicks,5,1,4,0.2,240.0,182,430,0.423,50,142,0.352,89,132,0.674,65,175,240,94,92.0,41,25,27,123,109,503,-41.0,2,21,26,26,7,14,9,24,19,20,14,13,5,29,1,8,4,21,23,8,9,23,25,11,15,26,Portland Trail Blazers,5,3,2,0.6,240.0,200,445,0.449,54,148,0.365,101,122,0.828,43,191,234,87,81.0,36,29,20,135,111,555,4.0,2,6,11,12,7,6,6,19,13,16,11,6,10,5,22,5,6,28,17,14,3,10,28,7,6,14
Milwaukee Bucks,Minnesota Timberwolves,106,104,1,1,Milwaukee Bucks,4,2,2,0.5,197.0,173,367,0.471,64,183,0.35,67,101,0.663,24,171,195,103,56.0,27,25,16,95,97,477,7.0,16,15,11,15,17,17,23,6,6,4,15,25,21,30,30,11,19,15,5,26,9,3,8,22,18,13,Minnesota Timberwolves,4,3,1,0.75,197.0,160,371,0.431,48,161,0.298,91,120,0.758,45,139,184,89,68.0,45,17,29,81,109,459,8.0,16,6,2,5,17,22,22,22,20,12,26,12,12,16,18,25,26,25,13,6,28,26,5,11,20,10
Los Angeles Lakers,Phoenix Suns,117,107,1,1,Los Angeles Lakers,4,3,1,0.75,192.0,160,350,0.457,39,116,0.336,78,98,0.796,40,144,184,94,61.0,34,32,14,86,97,437,47.0,16,6,2,5,20,22,28,12,26,28,18,20,23,9,24,23,26,21,8,19,2,2,7,22,26,1,Phoenix Suns,5,3,2,0.6,245.0,203,446,0.455,64,174,0.368,107,128,0.836,44,188,232,144,81.0,46,20,32,147,130,577,46.0,2,6,11,12,2,3,5,16,6,9,9,4,6,3,20,6,7,2,17,1,22,28,29,2,4,3
Cleveland Cavaliers,Charlotte Hornets,106,109,1,0,Cleveland Cavaliers,4,2,2,0.5,192.0,159,346,0.46,42,128,0.328,64,87,0.736,42,151,193,87,66.0,22,19,19,78,84,424,-9.0,16,15,11,15,20,24,30,11,23,26,20,27,27,22,23,18,20,28,11,30,25,7,3,27,28,21,Charlotte Hornets,5,2,3,0.4,240.0,199,430,0.463,75,179,0.419,67,93,0.72,50,162,212,127,98.0,29,19,31,107,106,540,-48.0,2,15,18,18,7,7,9,10,2,6,1,25,26,25,7,14,12,4,28,23,25,27,15,16,7,28
Indiana Pacers,Denver Nuggets,116,124,1,0,Indiana Pacers,4,1,3,0.25,192.0,164,366,0.448,35,96,0.365,58,70,0.829,40,118,158,98,49.0,35,15,21,97,78,421,-12.0,16,21,18,21,20,21,24,20,29,29,12,30,30,4,24,30,30,19,3,17,29,12,12,29,29,22,Denver Nuggets,5,3,2,0.6,245.0,192,451,0.426,53,153,0.346,93,113,0.823,57,172,229,112,72.0,37,25,22,115,116,530,-2.0,2,6,11,12,2,11,4,23,14,14,16,9,17,6,3,9,8,9,14,12,9,15,20,5,9,18
Miami Heat,Toronto Raptors,84,76,1,1,Miami Heat,5,4,1,0.8,245.0,201,428,0.47,65,166,0.392,111,154,0.721,48,188,236,124,104.0,46,35,24,126,124,578,41.0,2,1,2,2,2,4,11,7,4,10,3,2,1,23,13,6,5,5,30,1,1,21,26,3,3,6,Toronto Raptors,5,4,1,0.8,245.0,201,434,0.463,70,184,0.38,101,115,0.878,40,208,248,121,96.0,39,25,26,119,111,573,47.0,2,1,2,2,2,4,8,9,3,3,6,6,15,1,24,1,3,6,27,9,9,22,23,7,5,1
Chicago Bulls,Utah Jazz,98,102,1,0,Chicago Bulls,5,1,4,0.2,240.0,193,470,0.411,53,181,0.293,89,115,0.774,58,151,209,105,58.0,46,23,35,109,104,528,-30.0,2,21,26,26,7,10,3,28,14,5,27,13,15,14,2,18,13,12,6,1,14,29,17,19,10,25,Utah Jazz,5,4,1,0.8,240.0,184,389,0.473,53,141,0.376,84,108,0.778,25,192,217,104,93.0,38,18,23,122,116,505,43.0,2,1,2,2,7,12,15,5,14,21,8,17,19,12,29,4,11,14,24,11,27,16,24,5,14,5
Minnesota Timberwolves,Golden State Warriors,99,84,1,1,Minnesota Timberwolves,4,3,1,0.75,197.0,160,371,0.431,48,161,0.298,91,120,0.758,45,139,184,89,68.0,45,17,29,81,109,459,8.0,16,6,2,5,17,22,22,22,20,12,26,12,12,16,18,25,26,25,13,6,28,26,5,11,20,10,Golden State Warriors,4,1,3,0.25,192.0,156,377,0.414,42,138,0.304,104,121,0.86,53,132,185,105,64.0,36,10,21,80,92,458,-47.0,16,21,18,21,20,29,18,26,23,22,25,5,11,2,5,29,25,12,9,14,30,12,4,26,22,27
Dallas Mavericks,Brooklyn Nets,123,111,1,1,Dallas Mavericks,4,3,1,0.75,192.0,158,347,0.455,51,163,0.313,92,124,0.742,39,144,183,96,52.0,27,20,11,77,108,459,16.0,16,6,2,5,20,26,29,15,18,11,23,11,7,20,27,23,28,20,4,26,22,1,2,15,20,9,Brooklyn Nets,4,1,3,0.25,202.0,170,373,0.456,56,147,0.381,84,123,0.683,50,151,201,89,79.0,31,21,20,97,106,480,-8.0,16,21,18,21,16,18,21,14,11,17,5,17,9,28,7,18,18,25,16,22,19,10,12,16,17,20
