TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON,MONTH
1610612737,Atlanta Hawks,6,3,3,0.5,288.0,253,562,0.45,59,174,0.339,72,95,0.758,80,225,305,146,81.0,38,23,31,105,111,637,2.0,10,14,12,15,17,13,13,13,28,28,13,27,27,14,4,15,11,14,5,28,25,14,4,23,22,15,2021-22,1
1610612738,Boston Celtics,6,2,4,0.333,313.0,249,578,0.431,78,243,0.321,107,132,0.811,60,225,285,149,92.0,54,51,36,141,122,683,-27.0,10,21,20,22,10,15,10,22,13,10,21,10,12,6,20,15,16,11,14,13,1,22,26,15,12,22,2021-22,1
1610612751,Brooklyn Nets,7,4,3,0.571,336.0,270,586,0.461,81,234,0.346,111,147,0.755,48,274,322,157,106.0,48,42,40,135,138,732,0.0,1,8,12,12,4,8,9,7,10,12,10,5,3,16,26,1,4,8,23,16,4,25,24,3,5,16,2021-22,1
1610612766,Charlotte Hornets,7,5,2,0.714,341.0,307,657,0.467,102,246,0.415,114,158,0.722,78,235,313,192,89.0,62,33,40,128,140,830,23.0,1,1,7,7,2,1,1,4,1,8,1,3,1,23,5,13,8,1,12,4,13,25,22,2,1,10,2021-22,1
1610612741,Chicago Bulls,6,5,1,0.833,288.0,233,515,0.452,60,157,0.382,114,133,0.857,42,205,247,139,73.0,55,36,33,103,113,640,47.0,10,1,1,1,17,22,24,12,27,29,4,3,11,2,29,25,27,17,3,11,9,18,3,22,21,4,2021-22,1
1610612739,Cleveland Cavaliers,7,3,4,0.429,336.0,271,607,0.446,66,220,0.3,110,141,0.78,77,238,315,174,111.0,56,26,26,114,134,718,-12.0,1,14,20,19,4,7,7,16,21,17,28,6,6,11,6,10,7,2,24,9,22,7,15,4,8,18,2021-22,1
1610612742,Dallas Mavericks,6,4,2,0.667,288.0,216,534,0.404,77,247,0.312,81,116,0.698,62,214,276,121,77.0,42,30,35,121,119,590,-28.0,10,8,7,8,17,25,20,30,15,7,26,24,20,27,16,21,20,26,4,26,18,20,17,17,25,23,2021-22,1
1610612743,Denver Nuggets,6,4,2,0.667,288.0,244,509,0.479,65,208,0.313,55,82,0.671,49,219,268,143,113.0,57,22,25,125,115,608,27.0,10,8,7,8,17,19,26,2,22,21,25,30,30,29,25,18,23,15,25,6,26,5,19,20,24,8,2021-22,1
1610612765,Detroit Pistons,6,1,5,0.167,288.0,213,523,0.407,59,204,0.289,92,125,0.736,67,183,250,126,99.0,58,32,36,106,118,577,-66.0,10,24,25,25,17,27,21,29,28,24,30,18,17,20,11,28,26,24,19,5,14,22,5,18,27,28,2021-22,1
1610612744,Golden State Warriors,6,5,1,0.833,293.0,244,538,0.454,91,241,0.378,86,114,0.754,57,239,296,172,99.0,52,32,28,109,106,665,47.0,10,1,1,1,13,19,19,11,5,11,5,23,22,17,23,9,15,3,19,15,14,11,8,25,18,4,2021-22,1
1610612745,Houston Rockets,6,1,5,0.167,288.0,219,515,0.425,73,214,0.341,98,138,0.71,61,219,280,127,116.0,55,26,42,126,130,609,-46.0,10,24,25,25,17,24,24,25,17,19,12,14,8,25,18,18,19,23,27,11,22,28,20,8,23,26,2021-22,1
1610612754,Indiana Pacers,7,1,6,0.143,346.0,282,627,0.45,87,257,0.339,108,138,0.783,69,252,321,162,121.0,46,46,35,151,144,759,-29.0,1,24,28,28,1,3,6,14,7,3,14,8,8,10,9,4,5,6,30,20,2,20,29,1,3,24,2021-22,1
1610612746,LA Clippers,5,1,4,0.2,240.0,194,462,0.42,65,205,0.317,61,86,0.709,42,163,205,120,58.0,57,19,20,107,90,514,-10.0,28,24,20,24,28,29,28,26,22,23,23,29,29,26,29,30,30,27,1,6,28,2,6,30,30,17,2021-22,1
1610612747,Los Angeles Lakers,7,4,3,0.571,341.0,305,642,0.475,86,229,0.376,92,129,0.713,66,242,308,170,117.0,64,46,21,148,129,788,4.0,1,8,12,12,2,2,3,3,9,14,6,18,13,24,13,6,10,4,28,3,2,3,28,9,2,14,2021-22,1
1610612763,Memphis Grizzlies,6,3,3,0.5,293.0,248,571,0.434,87,252,0.345,90,109,0.826,83,200,283,157,94.0,66,34,36,110,106,673,-29.0,10,14,12,15,13,16,12,20,7,5,11,20,25,5,3,26,17,8,16,2,12,22,10,25,15,24,2021-22,1
1610612748,Miami Heat,6,5,1,0.833,293.0,254,549,0.463,68,196,0.347,108,128,0.844,74,253,327,149,95.0,46,13,31,126,124,684,102.0,10,1,1,1,13,11,16,6,20,26,9,8,16,4,7,3,3,11,17,20,30,14,20,12,11,1,2021-22,1
1610612749,Milwaukee Bucks,7,3,4,0.429,336.0,279,637,0.438,91,285,0.319,109,143,0.762,67,250,317,147,100.0,56,28,33,137,128,758,-25.0,1,14,20,19,4,4,5,19,5,1,22,7,4,13,11,5,6,13,21,9,20,18,25,10,4,20,2021-22,1
1610612750,Minnesota Timberwolves,5,3,2,0.6,240.0,190,453,0.419,69,212,0.325,73,94,0.777,62,167,229,118,86.0,54,37,26,109,100,522,19.0,28,14,7,11,28,30,29,27,19,20,17,26,28,12,16,29,29,29,11,13,7,7,8,29,29,12,2021-22,1
1610612740,New Orleans Pelicans,7,1,6,0.143,336.0,275,639,0.43,78,232,0.336,102,129,0.791,89,254,343,160,113.0,48,36,40,143,124,730,-47.0,1,24,28,28,4,5,4,23,13,13,15,12,13,8,2,2,1,7,25,16,9,25,27,12,6,27,2021-22,1
1610612752,New York Knicks,6,5,1,0.833,298.0,254,546,0.465,100,246,0.407,94,129,0.729,58,218,276,143,82.0,46,38,28,122,123,702,43.0,10,1,1,1,12,11,18,5,2,8,2,17,13,21,22,20,20,15,7,20,6,11,18,14,10,6,2021-22,1
1610612760,Oklahoma City Thunder,6,1,5,0.167,288.0,216,521,0.415,64,219,0.292,87,120,0.725,51,209,260,119,91.0,45,22,42,95,117,583,-87.0,10,24,25,25,17,25,22,28,25,18,29,21,19,22,24,23,24,28,13,23,26,28,2,19,26,30,2021-22,1
1610612753,Orlando Magic,7,1,6,0.143,336.0,259,600,0.432,97,265,0.366,101,135,0.748,70,241,311,151,120.0,37,32,29,151,131,716,-79.0,1,24,28,28,4,10,8,21,3,2,7,13,10,19,8,8,9,10,29,30,14,13,29,6,9,29,2021-22,1
1610612755,Philadelphia 76ers,6,4,2,0.667,288.0,248,508,0.488,80,208,0.385,96,111,0.865,46,206,252,136,83.0,48,42,26,110,106,672,50.0,10,8,7,8,17,16,27,1,12,21,3,16,23,1,28,24,25,21,9,16,4,7,10,25,16,3,2021-22,1
1610612756,Phoenix Suns,5,2,3,0.4,240.0,202,439,0.46,45,145,0.31,77,111,0.694,47,191,238,131,70.0,41,15,18,89,102,526,-25.0,28,21,12,21,28,28,30,8,30,30,27,25,23,28,27,27,28,22,2,27,29,1,1,28,28,20,2021-22,1
1610612757,Portland Trail Blazers,6,3,3,0.5,288.0,251,551,0.456,92,253,0.364,87,115,0.757,68,234,302,137,92.0,47,31,25,112,121,681,23.0,10,14,12,15,17,14,15,10,4,4,8,21,21,15,10,14,12,19,14,19,17,5,12,16,13,10,2021-22,1
1610612758,Sacramento Kings,6,3,3,0.5,288.0,243,548,0.443,71,224,0.317,97,123,0.789,61,222,283,137,83.0,38,27,27,119,110,654,-17.0,10,14,12,15,17,21,17,17,18,16,24,15,18,9,18,17,17,19,9,28,21,10,16,24,19,19,2021-22,1
1610612759,San Antonio Spurs,6,2,4,0.333,293.0,263,572,0.46,61,190,0.321,65,99,0.657,65,211,276,167,82.0,57,29,32,108,114,652,10.0,10,21,20,22,13,9,11,9,26,27,20,28,26,30,14,22,20,5,7,6,19,16,7,21,20,13,2021-22,1
1610612761,Toronto Raptors,7,4,3,0.571,336.0,274,643,0.426,74,228,0.325,104,139,0.748,101,238,339,138,102.0,78,25,51,130,134,726,28.0,1,8,12,12,4,6,2,24,16,15,19,11,7,18,1,10,2,18,22,1,24,30,23,4,7,7,2021-22,1
1610612762,Utah Jazz,6,5,1,0.833,288.0,232,518,0.448,81,249,0.325,122,143,0.853,64,237,301,106,96.0,44,35,21,112,125,667,77.0,10,1,1,1,17,23,23,15,10,6,18,1,4,3,15,12,14,30,18,24,11,3,12,11,17,2,2021-22,1
1610612764,Washington Wizards,6,5,1,0.833,303.0,245,557,0.44,65,199,0.327,121,151,0.801,60,242,302,123,81.0,44,37,32,113,131,676,25.0,10,1,1,1,11,18,14,18,22,25,16,2,2,7,20,6,12,25,5,24,7,16,14,6,14,9,2021-22,1
1610612737,Atlanta Hawks,15,8,7,0.533,720.0,619,1318,0.47,188,496,0.379,255,315,0.81,143,527,670,353,173.0,108,66,66,261,297,1681,53.0,11,9,9,10,15,13,14,6,10,22,3,7,9,7,19,17,19,16,4,19,24,12,9,11,12,8,2021-22,2
