TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Season,Month,SeasonType
1610612737,Atlanta Hawks,4,1,3,0.25,192.0,100.0,102.1,108.3,108.0,-8.3,-5.9,0.728,1.44,19.2,0.288,0.732,0.493,0.19,0.508,0.533,106.6,105.63,88.02,421,0.44,21,22,19,24,24,26,18,23,6,19,12,13,7,17,26,24,27,4,26,2024-25,1,Pre Season
1610612738,Boston Celtics,5,4,1,0.8,240.0,118.1,120.8,101.6,104.6,16.5,16.3,0.692,2.43,20.0,0.326,0.69,0.503,0.121,0.553,0.585,103.3,100.7,83.92,504,0.575,5,2,2,2,9,1,12,1,13,1,7,6,24,14,2,4,4,27,5,2024-25,1,Pre Season
1610612751,Brooklyn Nets,4,1,3,0.25,192.0,106.2,109.4,106.8,108.1,-0.6,1.3,0.701,1.77,19.0,0.307,0.661,0.479,0.153,0.52,0.556,103.8,101.63,84.69,406,0.49,21,22,19,24,24,8,19,16,11,7,13,10,29,24,8,17,17,23,18,2024-25,1,Pre Season
1610612766,Charlotte Hornets,5,2,3,0.4,245.0,101.8,105.9,102.5,103.2,-0.6,2.6,0.587,1.05,16.1,0.332,0.725,0.534,0.212,0.538,0.564,106.0,103.54,86.29,529,0.495,5,16,19,17,5,17,9,12,30,30,29,5,11,4,31,9,12,14,16,2024-25,1,Pre Season
1610612741,Chicago Bulls,5,3,2,0.6,245.0,105.2,108.2,104.7,107.6,0.4,0.6,0.644,1.76,18.1,0.258,0.705,0.483,0.142,0.514,0.546,113.4,110.3,91.92,562,0.494,5,8,10,10,5,12,17,18,17,8,17,25,19,22,4,23,24,1,17,2024-25,1,Pre Season
1610612739,Cleveland Cavaliers,4,0,4,0.0,197.0,101.5,102.9,107.1,110.8,-5.6,-7.9,0.695,1.75,18.5,0.247,0.712,0.477,0.146,0.499,0.537,111.0,108.3,90.25,445,0.472,21,29,29,29,21,23,23,25,12,10,14,28,16,26,6,27,26,2,23,2024-25,1,Pre Season
1610612742,Dallas Mavericks,4,1,3,0.25,192.0,99.7,102.7,99.3,101.7,0.3,1.0,0.587,1.2,16.5,0.247,0.697,0.478,0.184,0.519,0.553,106.2,103.38,86.15,412,0.486,21,22,19,24,24,24,7,17,29,28,27,27,21,25,24,19,19,16,21,2024-25,1,Pre Season
1610612743,Denver Nuggets,5,1,4,0.2,240.0,102.0,105.0,112.5,115.5,-10.4,-10.5,0.747,1.42,19.3,0.289,0.706,0.506,0.192,0.524,0.563,107.4,104.5,87.08,521,0.458,5,22,29,28,9,20,30,26,2,20,11,12,17,12,27,16,13,8,25,2024-25,1,Pre Season
1610612765,Detroit Pistons,5,3,2,0.6,240.0,102.6,105.2,94.6,96.8,8.0,8.4,0.73,1.76,20.4,0.28,0.733,0.51,0.166,0.516,0.548,102.7,100.3,83.58,501,0.543,5,8,10,10,9,19,4,7,5,9,4,14,6,11,14,21,23,28,8,2024-25,1,Pre Season
1610612744,Golden State Warriors,6,6,0,1.0,288.0,109.0,112.3,94.0,96.1,15.0,16.2,0.738,1.68,20.6,0.314,0.718,0.531,0.178,0.565,0.594,102.4,99.75,83.12,602,0.587,1,1,1,1,2,5,3,3,3,14,2,9,15,5,21,2,3,30,3,2024-25,1,Pre Season
1610612745,Houston Rockets,4,3,1,0.75,197.0,109.4,112.9,101.8,103.3,7.6,9.6,0.6,1.48,17.3,0.359,0.73,0.549,0.166,0.539,0.568,106.3,103.92,86.6,427,0.548,21,8,2,7,21,4,10,5,27,15,22,2,9,2,15,8,10,10,7,2024-25,1,Pre Season
1610612754,Indiana Pacers,4,2,2,0.5,197.0,115.5,115.1,110.6,111.3,4.9,3.8,0.638,1.74,19.6,0.276,0.695,0.489,0.158,0.581,0.606,105.6,105.5,87.92,431,0.52,21,16,10,15,21,2,25,9,20,12,8,19,22,19,12,1,1,5,11,2024-25,1,Pre Season
1610612746,LA Clippers,5,4,1,0.8,240.0,103.0,103.3,91.0,94.2,12.0,9.2,0.629,1.28,17.7,0.251,0.657,0.474,0.186,0.531,0.568,104.5,102.5,85.42,512,0.592,5,2,2,2,9,22,2,6,23,26,21,26,30,28,25,12,9,20,2,2024-25,1,Pre Season
1610612747,Los Angeles Lakers,6,2,4,0.333,293.0,97.6,99.8,108.8,112.5,-11.2,-12.7,0.634,1.41,16.9,0.279,0.731,0.493,0.166,0.478,0.513,106.0,103.04,85.87,628,0.432,1,16,29,21,1,27,28,29,22,22,23,16,8,16,13,30,29,18,28,2024-25,1,Pre Season
1610612763,Memphis Grizzlies,5,3,2,0.6,240.0,107.5,107.6,108.8,111.6,-1.3,-4.0,0.764,1.42,19.5,0.337,0.724,0.529,0.199,0.532,0.57,106.7,105.3,87.75,528,0.487,5,8,10,10,9,15,27,22,1,21,10,4,13,6,29,11,8,6,20,2024-25,1,Pre Season
1610612748,Miami Heat,5,4,1,0.8,240.0,105.4,108.1,102.3,105.0,3.1,3.1,0.727,1.86,20.1,0.272,0.692,0.476,0.154,0.529,0.56,106.9,104.2,86.83,521,0.533,5,2,2,2,9,13,13,10,7,4,6,20,23,27,9,14,15,9,9,2024-25,1,Pre Season
1610612749,Milwaukee Bucks,4,1,3,0.25,192.0,92.5,94.1,105.4,109.7,-12.9,-15.5,0.732,1.44,18.5,0.245,0.7,0.473,0.176,0.479,0.505,104.4,101.5,84.58,408,0.43,21,22,19,24,24,31,21,31,4,18,15,29,20,29,19,29,30,25,29,2024-25,1,Pre Season
1610612750,Minnesota Timberwolves,5,2,3,0.4,240.0,110.7,113.7,110.9,110.9,-0.2,2.8,0.616,1.75,18.2,0.276,0.786,0.511,0.145,0.545,0.572,107.8,106.3,88.58,531,0.483,5,16,19,17,9,3,24,11,25,11,16,18,2,10,5,6,7,3,22,2024-25,1,Pre Season
1610612740,New Orleans Pelicans,3,1,2,0.333,144.0,97.4,97.7,100.8,103.9,-3.4,-6.1,0.622,1.3,16.5,0.241,0.667,0.456,0.171,0.481,0.521,105.2,103.5,86.25,310,0.463,29,22,10,21,29,30,11,24,24,24,26,31,28,30,16,28,28,15,24,2024-25,1,Pre Season
