TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Season,Month,SeasonType
1610612737,Atlanta Hawks,4,2,2,0.5,49.3,41.3,94.0,0.439,11.3,40.8,0.276,22.8,30.3,0.752,13.0,35.3,48.3,27.5,17.5,9.3,7.3,5.3,26.8,23.0,116.5,-5.0,13,15,13,15,2,13,5,20,25,14,31,11,9,20,17,6,8,10,15,17,4,19,30,20,13,22,2025-26,1,Pre Season
1610612738,Boston Celtics,4,3,1,0.75,48.0,39.5,88.0,0.449,14.5,47.0,0.309,25.0,30.3,0.826,15.8,37.0,52.8,24.8,21.3,11.3,8.3,3.0,26.5,24.8,118.5,12.3,13,7,4,5,10,20,19,18,10,1,23,5,9,3,4,4,1,19,31,7,1,2,28,12,11,5,2025-26,1,Pre Season
1610612751,Brooklyn Nets,4,2,2,0.5,49.3,41.3,83.5,0.494,15.8,36.8,0.429,20.5,28.0,0.732,14.0,32.3,46.3,27.5,24.0,7.5,3.0,6.8,26.5,27.3,118.8,6.8,13,15,13,15,2,13,27,5,5,20,1,19,16,22,10,22,14,10,34,31,31,27,28,3,10,10,2025-26,1,Pre Season
1610612766,Charlotte Hornets,5,2,3,0.4,48.0,42.0,92.4,0.455,16.2,44.8,0.362,20.4,27.4,0.745,14.4,35.4,49.8,26.8,19.4,8.0,3.2,6.0,17.8,22.6,120.6,0.2,6,15,24,20,10,6,7,17,4,8,8,22,20,21,8,5,6,16,29,27,30,24,3,24,7,18,2025-26,1,Pre Season
1610612741,Chicago Bulls,5,3,2,0.6,48.0,42.8,89.2,0.48,12.4,40.8,0.304,22.2,31.0,0.716,11.4,37.6,49.0,31.0,18.2,8.6,5.4,4.2,24.0,25.6,120.2,0.2,6,7,13,12,10,4,13,10,20,13,26,13,6,26,24,3,7,1,20,24,18,8,18,10,8,18,2025-26,1,Pre Season
1610612739,Cleveland Cavaliers,4,1,3,0.25,48.0,39.3,92.8,0.423,15.0,46.3,0.324,20.0,29.3,0.684,13.5,28.0,41.5,27.5,17.8,14.0,6.5,5.0,25.5,26.0,113.5,-5.3,13,22,24,23,10,21,6,27,8,3,19,23,13,31,13,31,30,10,17,1,6,15,25,6,21,23,2025-26,1,Pre Season
1610612742,Dallas Mavericks,4,3,1,0.75,48.0,40.5,88.5,0.458,11.3,36.5,0.308,22.0,27.8,0.793,10.3,39.8,50.0,29.5,15.5,10.0,8.0,4.5,18.3,22.3,114.3,13.3,13,7,4,5,10,18,17,16,25,21,24,14,18,10,27,1,5,4,5,11,2,11,5,26,18,4,2025-26,1,Pre Season
1610612743,Denver Nuggets,5,3,2,0.6,48.0,37.6,80.0,0.47,12.6,35.4,0.356,21.2,27.6,0.768,8.8,33.6,42.4,24.2,17.2,9.2,3.8,4.4,22.6,23.8,109.0,1.2,6,7,13,12,10,26,32,13,19,25,12,17,19,15,32,14,27,24,14,20,27,10,14,13,27,16,2025-26,1,Pre Season
1610612765,Detroit Pistons,4,2,2,0.5,48.0,41.5,83.3,0.498,11.8,33.0,0.356,19.8,29.3,0.675,12.0,32.8,44.8,27.5,19.3,11.5,7.0,6.8,26.3,25.8,114.5,3.3,13,15,13,15,10,11,28,3,23,32,11,26,13,33,21,18,19,10,28,6,5,27,27,8,17,13,2025-26,1,Pre Season
1610612744,Golden State Warriors,5,3,2,0.6,48.0,41.2,87.4,0.471,16.6,45.4,0.366,16.4,21.4,0.766,9.6,33.2,42.8,29.8,22.0,9.8,4.2,3.2,23.2,21.0,115.4,1.6,6,7,13,12,10,15,22,11,3,7,7,32,32,16,29,16,23,3,32,13,22,4,16,32,15,15,2025-26,1,Pre Season
