TEAM_NAME,Season,Month,TEAM_ID_base,GP_base,W_base,L_base,W_PCT_base,MIN_base,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK_base,W_RANK_base,L_RANK_base,W_PCT_RANK_base,MIN_RANK_base,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SeasonType_base,TEAM_ID_adv,GP_adv,W_adv,L_adv,W_PCT_adv,MIN_adv,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK_adv,W_RANK_adv,L_RANK_adv,W_PCT_RANK_adv,MIN_RANK_adv,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonType_adv
atlanta hawks,2024-25,1,1610612737.0,4.0,1.0,3.0,0.25,48.0,39.5,92.8,0.426,15.3,45.5,0.335,13.3,18.3,0.726,13.3,32.8,46.0,28.8,20.0,10.8,3.5,5.3,20.8,20.0,107.5,-7.0,21.0,22.0,19.0,24.0,9.0,17.0,7.0,26.0,8.0,4.0,16.0,28.0,28.0,23.0,5.0,26.0,14.0,10.0,26.0,8.0,27.0,17.0,16.0,21.0,21.0,24.0,Pre Season,1610612737.0,4.0,1.0,3.0,0.25,192.0,100.0,102.1,108.3,108.0,-8.3,-5.9,0.728,1.44,19.2,0.288,0.732,0.493,0.19,0.508,0.533,106.6,105.63,88.02,421.0,0.44,21.0,22.0,19.0,24.0,24.0,26.0,18.0,23.0,6.0,19.0,12.0,13.0,7.0,17.0,26.0,24.0,27.0,4.0,26.0,Pre Season
boston celtics,2024-25,1,1610612738.0,5.0,4.0,1.0,0.8,48.0,42.8,95.0,0.451,19.4,52.6,0.369,16.8,20.8,0.808,13.2,32.4,45.6,29.6,12.2,9.8,5.6,1.2,20.2,21.6,121.8,16.6,5.0,2.0,2.0,2.0,9.0,7.0,2.0,14.0,2.0,1.0,5.0,19.0,21.0,3.0,6.0,27.0,17.0,7.0,1.0,12.0,15.0,1.0,12.0,11.0,2.0,3.0,Pre Season,1610612738.0,5.0,4.0,1.0,0.8,240.0,118.1,120.8,101.6,104.6,16.5,16.3,0.692,2.43,20.0,0.326,0.69,0.503,0.121,0.553,0.585,103.3,100.7,83.92,504.0,0.575,5.0,2.0,2.0,2.0,9.0,1.0,12.0,1.0,13.0,1.0,7.0,6.0,24.0,14.0,2.0,4.0,4.0,27.0,5.0,Pre Season
brooklyn nets,2024-25,1,1610612751.0,4.0,1.0,3.0,0.25,48.0,39.3,88.0,0.446,13.0,40.3,0.323,19.5,26.8,0.729,10.8,29.0,39.8,27.5,15.5,10.0,4.3,7.0,23.0,22.8,111.0,1.0,21.0,22.0,19.0,24.0,9.0,18.0,19.0,18.0,16.0,14.0,22.0,8.0,7.0,21.0,17.0,30.0,30.0,15.0,5.0,11.0,23.0,30.0,25.0,6.0,16.0,15.0,Pre Season,1610612751.0,4.0,1.0,3.0,0.25,192.0,106.2,109.4,106.8,108.1,-0.6,1.3,0.701,1.77,19.0,0.307,0.661,0.479,0.153,0.52,0.556,103.8,101.63,84.69,406.0,0.49,21.0,22.0,19.0,24.0,24.0,8.0,19.0,16.0,11.0,7.0,13.0,10.0,29.0,24.0,8.0,17.0,17.0,23.0,18.0,Pre Season
charlotte hornets,2024-25,1,1610612766.0,5.0,2.0,3.0,0.4,49.0,40.2,90.4,0.445,16.8,44.6,0.377,14.8,20.4,0.725,11.8,37.4,49.2,23.6,22.4,7.6,6.4,5.8,23.0,21.8,112.0,3.0,5.0,16.0,19.0,17.0,4.0,14.0,14.0,19.0,3.0,5.0,3.0,25.0,22.0,24.0,11.0,5.0,5.0,24.0,31.0,29.0,7.0,20.0,25.0,10.0,14.0,10.0,Pre Season,1610612766.0,5.0,2.0,3.0,0.4,245.0,101.8,105.9,102.5,103.2,-0.6,2.6,0.587,1.05,16.1,0.332,0.725,0.534,0.212,0.538,0.564,106.0,103.54,86.29,529.0,0.495,5.0,16.0,19.0,17.0,5.0,17.0,9.0,12.0,30.0,30.0,29.0,5.0,11.0,4.0,31.0,9.0,12.0,14.0,16.0,Pre Season
chicago bulls,2024-25,1,1610612741.0,5.0,3.0,2.0,0.6,49.0,43.8,101.2,0.433,16.4,47.8,0.343,17.6,23.2,0.759,11.8,40.4,52.2,28.2,16.0,9.4,6.2,5.4,21.8,19.6,121.6,0.2,5.0,8.0,10.0,10.0,4.0,3.0,1.0,24.0,4.0,2.0,13.0,13.0,18.0,13.0,11.0,1.0,2.0,13.0,8.0,16.0,10.0,18.0,22.0,23.0,3.0,19.0,Pre Season,1610612741.0,5.0,3.0,2.0,0.6,245.0,105.2,108.2,104.7,107.6,0.4,0.6,0.644,1.76,18.1,0.258,0.705,0.483,0.142,0.514,0.546,113.4,110.3,91.92,562.0,0.494,5.0,8.0,10.0,10.0,5.0,12.0,17.0,18.0,17.0,8.0,17.0,25.0,19.0,22.0,4.0,23.0,24.0,1.0,17.0,Pre Season
cleveland cavaliers,2024-25,1,1610612739.0,4.0,0.0,4.0,0.0,49.3,41.0,94.3,0.435,12.0,41.3,0.291,20.5,28.0,0.732,10.0,38.3,48.3,28.5,16.3,9.0,5.5,6.3,17.0,22.0,114.5,-8.5,21.0,29.0,29.0,29.0,1.0,9.0,4.0,23.0,21.0,11.0,29.0,5.0,4.0,20.0,19.0,3.0,7.0,11.0,10.0,17.0,16.0,27.0,2.0,9.0,6.0,25.0,Pre Season,1610612739.0,4.0,0.0,4.0,0.0,197.0,101.5,102.9,107.1,110.8,-5.6,-7.9,0.695,1.75,18.5,0.247,0.712,0.477,0.146,0.499,0.537,111.0,108.3,90.25,445.0,0.472,21.0,29.0,29.0,29.0,21.0,23.0,23.0,25.0,12.0,10.0,14.0,28.0,16.0,26.0,6.0,27.0,26.0,2.0,23.0,Pre Season
dallas mavericks,2024-25,1,1610612742.0,4.0,1.0,3.0,0.25,48.0,38.8,85.3,0.455,11.0,31.8,0.346,17.3,23.5,0.734,8.5,34.5,43.0,22.8,19.0,10.3,7.5,6.0,20.8,20.5,105.8,0.3,21.0,22.0,19.0,24.0,9.0,22.0,25.0,11.0,25.0,31.0,12.0,15.0,17.0,17.0,30.0,16.0,26.0,28.0,24.0,10.0,1.0,21.0,16.0,18.0,23.0,18.0,Pre Season,1610612742.0,4.0,1.0,3.0,0.25,192.0,99.7,102.7,99.3,101.7,0.3,1.0,0.587,1.2,16.5,0.247,0.697,0.478,0.184,0.519,0.553,106.2,103.38,86.15,412.0,0.486,21.0,22.0,19.0,24.0,24.0,24.0,7.0,17.0,29.0,28.0,27.0,27.0,21.0,25.0,24.0,19.0,19.0,16.0,21.0,Pre Season
denver nuggets,2024-25,1,1610612743.0,5.0,1.0,4.0,0.2,48.0,38.0,83.4,0.456,11.4,33.8,0.337,22.0,31.4,0.701,10.0,35.4,45.4,28.4,20.0,7.2,3.2,5.2,22.2,25.4,109.4,-11.6,5.0,22.0,29.0,28.0,9.0,25.0,26.0,10.0,24.0,28.0,14.0,3.0,1.0,28.0,19.0,12.0,18.0,12.0,26.0,31.0,29.0,15.0,23.0,1.0,20.0,27.0,Pre Season,1610612743.0,5.0,1.0,4.0,0.2,240.0,102.0,105.0,112.5,115.5,-10.4,-10.5,0.747,1.42,19.3,0.289,0.706,0.506,0.192,0.524,0.563,107.4,104.5,87.08,521.0,0.458,5.0,22.0,29.0,28.0,9.0,20.0,30.0,26.0,2.0,20.0,11.0,12.0,17.0,12.0,27.0,16.0,13.0,8.0,25.0,Pre Season
detroit pistons,2024-25,1,1610612765.0,5.0,3.0,2.0,0.6,48.0,40.0,88.0,0.455,10.8,33.8,0.32,14.6,18.4,0.793,10.0,34.2,44.2,29.2,16.6,11.0,5.8,8.4,20.6,17.8,105.4,8.2,5.0,8.0,10.0,10.0,9.0,15.0,19.0,11.0,27.0,28.0,23.0,27.0,27.0,5.0,19.0,20.0,24.0,9.0,12.0,7.0,14.0,32.0,14.0,29.0,24.0,7.0,Pre Season,1610612765.0,5.0,3.0,2.0,0.6,240.0,102.6,105.2,94.6,96.8,8.0,8.4,0.73,1.76,20.4,0.28,0.733,0.51,0.166,0.516,0.548,102.7,100.3,83.58,501.0,0.543,5.0,8.0,10.0,10.0,9.0,19.0,4.0,7.0,5.0,9.0,4.0,14.0,6.0,11.0,14.0,21.0,23.0,28.0,8.0,Pre Season
golden state warriors,2024-25,1,1610612744.0,6.0,6.0,0.0,1.0,48.0,40.7,86.3,0.471,16.2,42.3,0.382,15.2,19.3,0.784,9.3,36.5,45.8,30.0,17.8,8.8,6.0,4.5,20.5,18.3,112.7,17.3,1.0,1.0,1.0,1.0,9.0,12.0,24.0,6.0,5.0,8.0,2.0,24.0,25.0,7.0,26.0,9.0,15.0,3.0,21.0,22.0,12.0,9.0,13.0,28.0,12.0,1.0,Pre Season,1610612744.0,6.0,6.0,0.0,1.0,288.0,109.0,112.3,94.0,96.1,15.0,16.2,0.738,1.68,20.6,0.314,0.718,0.531,0.178,0.565,0.594,102.4,99.75,83.12,602.0,0.587,1.0,1.0,1.0,1.0,2.0,5.0,3.0,3.0,3.0,14.0,2.0,9.0,15.0,5.0,21.0,2.0,3.0,30.0,3.0,Pre Season
