TEAM_NAME,W_PCT,PIE,EFG_PCT,TM_TOV_PCT,OREB_PCT,FTR,NET_RATING,OFF_RATING,DEF_RATING,PACE,Season
atlanta hawks,0.4,0.4679999999999999,0.5427,0.141,0.2973,0.2371731950637907,-3.87,112.2,116.06999999999998,99.2,2025-26
boston celtics,0.6,0.5317000000000001,0.5554,0.1409,0.3258,0.2160411525222708,6.299999999999999,117.92,111.64,95.1,2025-26
brooklyn nets,0.3,0.4231,0.5145000000000001,0.1501,0.2223,0.2592754107740133,-13.419999999999998,103.84,117.28000000000002,99.55,2025-26
charlotte hornets,0.6,0.5145,0.5395000000000001,0.1334,0.3722999999999999,0.2018926045454555,4.99,119.69,114.68,94.602,2025-26
chicago bulls,0.2,0.4527,0.5285,0.1531,0.2920999999999999,0.2977486906161854,-10.649999999999997,109.36,120.01,106.65,2025-26
cleveland cavaliers,0.4,0.4778,0.5269999999999999,0.1632,0.3332,0.3611612627789098,-3.830000000000001,110.83,114.67,94.151,2025-26
dallas mavericks,0.2,0.4535999999999999,0.5061,0.1147999999999999,0.245,0.3080935291156896,-8.92,110.19,119.06999999999998,103.775,2025-26
denver nuggets,0.7,0.5243,0.5452999999999999,0.1159999999999999,0.2871,0.2887560156039919,4.0,118.65,114.65,100.036,2025-26
detroit pistons,0.6,0.5393,0.5297,0.1657,0.3656,0.2874200269174711,7.1800000000000015,114.24,107.04,93.225,2025-26
golden state warriors,0.3,0.478,0.5637,0.1495,0.2856,0.2569014682729991,-6.119999999999999,115.53,121.64,97.75,2025-26
houston rockets,0.6,0.5189,0.525,0.146,0.3797,0.2717666869282735,6.23,116.53,110.29,95.814,2025-26
indiana pacers,0.4,0.5209,0.5807,0.1466,0.2392999999999999,0.2206767513408718,-0.13,115.76000000000002,115.89,102.7,2025-26
la clippers,0.6,0.502,0.557,0.1354,0.2699999999999999,0.2603489178924236,2.1099999999999985,115.95,113.84,98.3,2025-26
los angeles lakers,0.5,0.5017,0.5488,0.1878,0.3189,0.3010211056929089,-2.440000000000001,109.29,111.75,94.264,2025-26
memphis grizzlies,0.1,0.3785,0.5309999999999999,0.142,0.2435999999999999,0.2299824315872895,-19.160000000000004,108.45,127.61,103.1,2025-26
miami heat,0.5,0.502,0.5896,0.123,0.2888,0.2652174786198119,-0.4199999999999992,123.48,123.89,101.85,2025-26
milwaukee bucks,0.3,0.4335,0.5763,0.181,0.2881999999999999,0.2018534613896473,-9.16,112.7,121.83,97.9,2025-26
minnesota timberwolves,0.6,0.4698,0.4997,0.1465,0.3262,0.2783759991678324,-2.05,108.67,110.71,100.3,2025-26
new orleans pelicans,0.1,0.4426,0.5237,0.1298,0.2666,0.2734556043717485,-10.16,111.62,121.74,102.05,2025-26
new york knicks,0.9,0.5742,0.5639000000000001,0.1384,0.3374,0.2859225956408245,13.259999999999996,118.97,105.72,96.226,2025-26
oklahoma city thunder,0.7,0.5193,0.5432,0.1384999999999999,0.3148,0.2498981865725176,4.44,114.92,110.48,97.293,2025-26
orlando magic,0.5,0.5033000000000001,0.4819,0.1485,0.3135,0.3403875333052523,2.06,105.46,103.41,98.55,2025-26
philadelphia 76ers,0.4,0.4519999999999999,0.5115999999999999,0.1301,0.2503,0.2680091518039106,-7.860000000000001,108.63,116.48999999999998,94.25,2025-26
phoenix suns,0.4,0.4532,0.5233,0.1696,0.3194,0.2616444703078137,-4.38,110.84,115.22,96.15,2025-26
portland trail blazers,0.5,0.4849,0.5243,0.1483,0.3485,0.2449368352425733,-1.89,112.01999999999998,113.9,97.555,2025-26
sacramento kings,0.4,0.4543,0.5454,0.1536,0.3524,0.2504893944828689,-8.919999999999998,115.18,124.09999999999998,97.55,2025-26
san antonio spurs,0.4,0.5079,0.5115999999999999,0.1417,0.3029,0.3058825837938635,1.82,112.02,110.19,97.5,2025-26
toronto raptors,0.6,0.5389,0.5650000000000001,0.1438999999999999,0.3085,0.3031253666944677,6.280000000000001,117.26,110.97,97.242,2025-26
utah jazz,0.1,0.4530999999999999,0.5433,0.1321,0.264,0.2439922668944649,-13.7,109.87,123.58,109.25,2025-26
washington wizards,0.1,0.4168,0.5406000000000001,0.1469,0.2786,0.2221037647776883,-14.03,109.98,124.0,104.8,2025-26
