Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Oklahoma City Thunder,68-14,Jun-36,Aug-32,29-Jan,39-13,10-0,01-Sep,10-0,04-Dec,13-Mar,14-Jun,Oct-44,24-Apr,04-Jan,May-54,4-0,04-Nov,01-Dec,04-Oct,02-Nov,15-Jan,02-May
2,Cleveland Cavaliers,64-18,Jul-34,30-Nov,Nov-41,23-Jul,16-Mar,04-Dec,13-Apr,01-Sep,04-Jun,02-Aug,Oct-44,20-Aug,04-May,Jul-41,5-0,03-Dec,01-Dec,05-Oct,01-Oct,05-Nov,03-Apr
3,Boston Celtics,61-21,28-13,Aug-33,39-13,22-Aug,14-Feb,06-Dec,13-May,02-Aug,03-Jul,03-Jul,39-16,22-May,03-Aug,Jul-41,01-Apr,02-Dec,06-Aug,06-Oct,03-Aug,14-Jan,02-May
4,Houston Rockets,52-30,29-Dec,23-18,21-Sep,31-21,04-Jun,03-Jul,02-Aug,09-Sep,09-Sep,13-Mar,34-21,18-Sep,05-Aug,26-Dec,02-Mar,04-Nov,05-Jul,04-Nov,07-May,05-Dec,03-Mar
5,New York Knicks,51-31,27-14,24-17,34-18,17-13,04-Dec,10-Jul,15-Apr,04-Jun,06-Apr,03-Jul,36-18,15-13,03-Jul,31-19,02-Feb,06-Sep,02-Dec,06-Sep,04-Jul,07-Aug,04-Apr
6,Denver Nuggets,50-32,26-15,24-17,18-Dec,32-20,04-Jun,06-Apr,02-Aug,08-Aug,13-Jun,06-Nov,36-19,14-13,06-Aug,31-17,02-Feb,05-Aug,06-Aug,06-Nov,02-Oct,07-Aug,04-Mar
7,Indiana Pacers,50-32,29-Dec,21-20,29-22,21-Oct,07-Oct,06-Oct,09-Sep,04-Jun,02-Aug,04-Jul,30-23,20-Sep,02-Jun,25-17,03-Feb,08-Jul,07-Jul,02-Oct,05-Jul,06-Nov,01-Jun
8,Los Angeles Clippers,50-32,30-Nov,20-21,21-Sep,29-23,03-Jul,06-Apr,10-0,10-Aug,07-Sep,06-Dec,31-23,19-Sep,07-May,32-13,03-Feb,06-Oct,05-Jul,06-Sep,07-Apr,05-Nov,7-0
9,Los Angeles Lakers,50-32,31-Oct,19-22,14-16,36-16,03-Jul,08-Feb,05-May,08-Nov,04-Dec,13-Apr,32-20,18-Dec,06-Apr,22-21,02-Mar,06-Aug,06-Jul,05-Sep,02-Oct,08-Sep,03-Apr
10,Minnesota Timberwolves,49-33,25-16,24-17,16-14,33-19,04-Jun,07-Mar,03-Jul,05-Nov,07-Dec,07-Oct,31-25,18-Aug,11-Nov,Sep-31,02-Feb,08-Jul,05-Aug,06-Oct,08-May,03-Nov,01-Jun
11,Golden State Warriors,48-34,24-17,24-17,19-Nov,29-23,04-Jun,04-Jun,03-Jul,05-Nov,11-May,13-Jul,28-27,20-Jul,06-Jun,26-15,01-Apr,06-Aug,09-Apr,08-Aug,03-Aug,04-Nov,03-May
12,Memphis Grizzlies,48-34,26-15,22-19,21-Oct,27-24,05-Jun,04-Jun,01-Sep,08-Sep,11-Jul,05-Nov,36-18,16-Dec,06-Sep,31-15,03-Mar,04-Oct,04-Oct,05-Sep,05-Jun,10-Jun,03-Apr
13,Milwaukee Bucks,48-34,28-14,20-20,31-21,17-13,09-Aug,07-Sep,14-May,05-May,04-Jun,04-Jun,29-24,19-Oct,09-May,25-19,04-Jan,05-Sep,05-Jul,06-Sep,05-Jul,09-Jul,8-0
14,Detroit Pistons,44-38,22-19,22-19,29-23,15-15,13-May,11-May,07-Nov,06-Apr,05-May,04-Jun,29-26,15-Dec,06-Aug,23-17,04-Jan,09-Aug,05-May,06-Oct,03-Sep,06-Sep,05-Feb
15,Orlando Magic,41-41,22-19,19-22,31-21,20-Oct,08-Nov,09-Aug,04-Dec,0-10,04-Jun,06-Apr,27-29,14-Dec,07-Apr,22-20,02-Mar,05-Nov,07-Jun,11-Apr,07-May,08-Jul,01-May
16,Atlanta Hawks,40-42,21-19,19-23,30-22,20-Oct,07-Oct,09-Oct,06-Oct,07-Mar,06-Apr,07-Mar,26-29,14-13,06-Aug,20-21,03-Feb,08-Aug,04-Aug,11-Apr,07-May,05-Sep,04-Apr
17,Sacramento Kings,40-42,20-21,20-21,14-16,26-26,06-Apr,06-Apr,04-Jun,11-Aug,11-May,13-Apr,28-27,15-Dec,09-Apr,22-19,02-Feb,09-Jul,08-May,04-Oct,05-Jun,11-Jun,03-Apr
18,Chicago Bulls,39-43,18-23,21-20,28-24,19-Nov,07-Nov,12-Apr,13-May,06-Apr,06-Apr,07-Mar,22-33,17-Oct,04-Jun,23-26,02-Mar,11-May,05-Jul,10-Jun,08-Mar,06-Sep,01-Jun
19,Dallas Mavericks,39-43,22-18,17-25,16-14,23-29,05-May,07-Mar,02-Aug,08-Oct,13-May,08-Aug,30-26,17-Sep,08-May,17-24,02-Mar,06-Sep,05-Aug,10-Jun,05-Jun,11-May,04-Feb
20,Miami Heat,37-45,19-22,18-23,24-28,13-17,08-Oct,14-Apr,06-Oct,07-Mar,06-Apr,04-Jun,25-28,17-Dec,11-Mar,22-18,02-Feb,06-Jul,06-Jul,09-Jul,07-May,11-Jun,04-Mar
21,Phoenix Suns,36-46,24-17,29-Dec,14-16,22-30,06-Apr,05-May,05-May,12-Jul,07-Sep,11-Jun,26-28,18-Oct,05-Jul,13-26,01-Apr,07-Jul,09-Apr,05-Oct,10-Mar,08-Jul,06-Jan
22,Portland Trail Blazers,36-46,22-19,14-27,17-13,19-33,06-Apr,06-Apr,01-Sep,10-Jun,12-Jun,11-Jul,23-32,13-14,04-Jul,19-30,03-Feb,09-Jun,09-Mar,08-Aug,04-Aug,10-May,03-Apr
23,San Antonio Spurs,34-48,20-21,14-27,18-Dec,22-30,04-Jun,08-Feb,06-Apr,08-Oct,11-Jul,11-May,23-29,19-Nov,07-Jul,17-32,03-Feb,06-Aug,07-Jul,08-Apr,09-Mar,10-Jul,05-Mar
