Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,01-Feb,01-Feb,02-Feb,4-0,01-Feb,0-2,0-2,03-Jan,01-Jan,0-2,01-Feb,0-2,01-Jan,01-Jan,02-Feb,02-Mar,01-Jan,2-0,03-Feb,0-2,02-Feb,3-0,01-Jan,0-2,01-Jan,0-2,02-Jan,2-0,02-Feb
2,Boston Celtics,02-Jan,,4-0,01-Mar,4-0,02-Feb,01-Jan,2-0,01-Mar,01-Jan,01-Jan,02-Jan,2-0,01-Jan,01-Jan,01-Mar,3-0,2-0,2-0,4-0,0-2,02-Jan,01-Mar,2-0,2-0,01-Jan,2-0,01-Mar,2-0,4-0
3,Brooklyn Nets,02-Jan,0-4,,02-Jan,01-Mar,0-4,01-Jan,0-2,0-3,01-Jan,2-0,03-Jan,0-2,01-Jan,01-Feb,02-Jan,01-Mar,0-2,2-0,0-4,0-2,0-4,02-Feb,01-Jan,01-Jan,01-Jan,0-2,03-Jan,0-2,02-Jan
4,Chicago Bulls,02-Feb,03-Jan,01-Feb,,01-Mar,0-4,0-2,2-0,03-Jan,0-2,0-2,03-Jan,01-Jan,2-0,01-Jan,3-0,02-Feb,0-2,0-2,01-Feb,0-2,01-Feb,02-Feb,0-2,01-Jan,01-Jan,2-0,4-0,01-Jan,01-Mar
5,Charlotte Hornets,0-4,0-4,03-Jan,03-Jan,,0-4,01-Jan,0-2,02-Feb,0-2,01-Jan,01-Feb,0-2,01-Jan,0-2,03-Jan,02-Jan,0-2,01-Jan,02-Jan,0-2,0-4,0-4,01-Jan,0-2,0-2,2-0,02-Jan,2-0,0-4
6,Cleveland Cavaliers,02-Jan,02-Feb,4-0,4-0,4-0,,2-0,2-0,01-Mar,2-0,0-2,03-Jan,01-Jan,2-0,2-0,01-Feb,4-0,2-0,2-0,4-0,01-Jan,01-Feb,01-Feb,01-Jan,2-0,0-2,2-0,4-0,2-0,4-0
7,Dallas Mavericks,2-0,01-Jan,01-Jan,2-0,01-Jan,0-2,,03-Jan,01-Jan,02-Feb,03-Jan,0-2,03-Jan,02-Jan,03-Jan,01-Jan,0-2,02-Jan,01-Mar,01-Jan,01-Mar,2-0,0-2,03-Jan,01-Mar,0-3,01-Mar,2-0,01-Feb,2-0
8,Denver Nuggets,2-0,0-2,2-0,0-2,2-0,0-2,01-Mar,,2-0,01-Feb,01-Feb,01-Jan,02-Feb,02-Feb,01-Feb,2-0,01-Jan,0-4,01-Mar,0-2,02-Feb,2-0,2-0,01-Mar,02-Feb,4-0,02-Jan,2-0,4-0,0-2
9,Detroit Pistons,01-Mar,03-Jan,3-0,01-Mar,02-Feb,03-Jan,01-Jan,0-2,,0-2,01-Jan,03-Jan,01-Jan,2-0,0-2,01-Mar,0-4,01-Jan,2-0,01-Mar,0-2,02-Jan,01-Feb,01-Jan,2-0,01-Jan,2-0,4-0,01-Jan,01-Feb
10,Golden State Warriors,01-Jan,01-Jan,01-Jan,2-0,2-0,0-2,02-Feb,02-Jan,2-0,,02-Mar,0-2,0-4,03-Jan,01-Mar,0-2,2-0,01-Mar,4-0,2-0,01-Feb,2-0,01-Jan,02-Feb,3-0,02-Feb,02-Jan,01-Jan,01-Feb,2-0
