Team,FG_per_game,FGA_per_game,FG%_per_game,3P_per_game,3PA_per_game,3P%_per_game,2P_per_game,2PA_per_game,2P%_per_game,FT_x,FTA_x,FT%_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,FG%,Dist.,Unnamed: 6,2P,0-3,10-Mar,16-Oct,16-3P,3P,Unnamed: 13,2P.1,0-3.1,10-Mar.1,16-Oct.1,16-3P.1,3P.1,Unnamed: 20,2P.2,3P.2,Unnamed: 23,%FGA,Md.,Unnamed: 26,%FGA.1,Md..1,Unnamed: 29,%3PA,3P%,Unnamed: 32,Att.,Md..2,FG_totals,FGA_totals,FG%_totals,3P_totals,3PA_totals,3P%_totals,2P_totals,2PA_totals,2P%_totals,FT_y,FTA_y,FT%_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,Age,W_x,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27,Arena,Attend.,Attend./G,Overall,Home,Road,E,W_y,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr,FG_per100,FGA_per100,FG%_per100,3P_per100,3PA_per100,3P%_per100,2P_per100,2PA_per100,2P%_per100,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cleveland Cavaliers,44.5,90.8,0.491,15.9,41.5,0.383,28.6,49.3,0.581,17.0,21.9,0.776,11.2,34.2,45.4,28.1,8.2,4.3,13.2,18.1,121.9,0.491,14.9,,0.543,0.241,0.19,0.075,0.037,0.457,,0.581,0.707,0.503,0.483,0.362,0.383,,0.546,0.784,,0.066,444,,0.234,1005,,0.245,0.401,,11.0,1.0,3652,7444,0.491,1303,3401,0.383,2349,4043,0.581,1392,1793,0.776,917,2806,3723,2304,670,350,1082,1487,9999,26.6,64.0,18.0,62,20,9.54,-0.73,8.81,121.7,112.2,9.5,99.8,0.241,0.457,0.607,,0.578,11.6,25.9,0.187,,0.528,12.6,74.8,0.181,,Rocket Arena,"796,712","19,432",64-18,Jul-34,30-Nov,Nov-41,23-Jul,16-Mar,04-Dec,13-Apr,01-Sep,04-Jun,02-Aug,Oct-44,20-Aug,04-May,Jul-41,5-0,03-Dec,01-Dec,05-Oct,01-Oct,05-Nov,03-Apr,44.5,90.6,0.491,15.9,41.4,0.383,28.6,49.2,0.581,16.9,21.8,0.776,11.2,34.2,45.3,28.0,8.2,4.3,13.2,18.1,121.7
Memphis Grizzlies,44.8,93.3,0.479,13.9,37.9,0.367,30.8,55.5,0.556,18.3,23.3,0.786,12.9,34.4,47.3,28.4,8.9,5.6,15.7,20.9,121.7,0.479,13.9,,0.594,0.213,0.269,0.085,0.027,0.406,,0.556,0.713,0.475,0.468,0.4,0.367,,0.527,0.874,,0.05,341,,0.261,1159,,0.254,0.37,,24.0,1.0,3670,7654,0.479,1141,3107,0.367,2529,4547,0.556,1499,1908,0.786,1056,2819,3875,2330,726,462,1285,1711,9980,24.7,48.0,34.0,52,30,4.85,-0.06,4.79,117.7,113.0,4.7,103.3,0.249,0.406,0.588,,0.554,13.1,28.7,0.196,,0.533,12.9,74.9,0.206,,FedEx Forum,"683,067","16,660",48-34,26-15,22-19,21-Oct,27-24,05-Jun,04-Jun,01-Sep,08-Sep,11-Jul,05-Nov,36-18,16-Dec,06-Sep,31-15,03-Mar,04-Oct,04-Oct,05-Sep,05-Jun,10-Jun,03-Apr,43.3,90.3,0.479,13.5,36.6,0.367,29.8,53.6,0.556,17.7,22.5,0.786,12.5,33.3,45.7,27.5,8.6,5.4,15.2,20.2,117.7
Denver Nuggets,45.4,89.8,0.506,12.0,31.9,0.376,33.4,57.8,0.578,17.9,23.3,0.77,11.2,34.5,45.7,31.0,8.0,4.9,14.3,17.6,120.8,0.506,13.2,,0.644,0.265,0.237,0.076,0.067,0.356,,0.578,0.715,0.512,0.45,0.413,0.376,,0.624,0.846,,0.073,465,,0.318,1406,,0.215,0.431,,38.0,2.0,3724,7360,0.506,984,2619,0.376,2740,4741,0.578,1470,1909,0.77,919,2832,3751,2542,656,402,1169,1444,9902,27.0,50.0,32.0,50,32,3.89,0.08,3.97,119.9,116.0,3.9,99.8,0.259,0.356,0.604,,0.573,12.5,26.7,0.2,,0.542,11.3,74.6,0.173,,Ball Arena,"811,211","19,786",50-32,26-15,24-17,18-Dec,32-20,04-Jun,06-Apr,02-Aug,08-Aug,13-Jun,06-Nov,36-19,14-13,06-Aug,31-17,02-Feb,05-Aug,06-Aug,06-Nov,02-Oct,07-Aug,04-Mar,45.1,89.1,0.506,11.9,31.7,0.376,33.2,57.4,0.578,17.8,23.1,0.77,11.1,34.3,45.4,30.8,7.9,4.9,14.2,17.5,119.9
Oklahoma City Thunder,44.6,92.7,0.482,14.5,38.8,0.374,30.1,53.9,0.559,16.7,20.4,0.819,10.6,34.2,44.8,26.9,10.3,5.7,11.7,19.9,120.5,0.482,14.6,,0.581,0.216,0.196,0.123,0.046,0.419,,0.559,0.71,0.466,0.5,0.406,0.374,,0.482,0.849,,0.053,363,,0.263,1164,,0.213,0.404,,5.0,0.0,3660,7600,0.482,1192,3184,0.374,2468,4416,0.559,1369,1672,0.819,871,2801,3672,2202,847,465,961,1632,9881,24.8,68.0,14.0,68,14,12.87,-0.16,12.7,120.3,107.5,12.8,100.0,0.22,0.419,0.593,,0.56,10.3,24.2,0.18,,0.513,14.9,74.6,0.211,,Paycom Center,"754,832","17,973",68-14,Jun-36,Aug-32,29-Jan,39-13,10-0,01-Sep,10-0,04-Dec,13-Mar,14-Jun,Oct-44,24-Apr,04-Jan,May-54,4-0,04-Nov,01-Dec,04-Oct,02-Nov,15-Jan,02-May,44.6,92.6,0.482,14.5,38.8,0.374,30.1,53.8,0.559,16.7,20.4,0.819,10.6,34.1,44.7,26.8,10.3,5.7,11.7,19.9,120.3
Atlanta Hawks,43.4,91.8,0.472,13.5,37.7,0.358,29.9,54.1,0.552,18.0,23.2,0.775,11.9,32.6,44.5,29.6,9.7,5.1,15.5,19.1,118.2,0.472,13.7,,0.59,0.257,0.228,0.077,0.027,0.41,,0.552,0.676,0.473,0.422,0.398,0.358,,0.622,0.815,,0.072,484,,0.263,1089,,0.277,0.405,,20.0,1.0,3556,7528,0.472,1107,3089,0.358,2449,4439,0.552,1472,1900,0.775,974,2675,3649,2426,798,419,1273,1564,9691,24.9,40.0,42.0,38,44,-1.13,-0.28,-1.41,114.6,115.7,-1.1,102.6,0.252,0.41,0.579,,0.546,13.2,26.3,0.196,,0.56,13.8,76.0,0.202,,State Farm Arena,"657,613","16,440",40-42,21-19,19-23,30-22,20-Oct,07-Oct,09-Oct,06-Oct,07-Mar,06-Apr,07-Mar,26-29,14-13,06-Aug,20-21,03-Feb,08-Aug,04-Aug,11-Apr,07-May,05-Sep,04-Apr,42.0,89.0,0.472,13.1,36.5,0.358,29.0,52.5,0.552,17.4,22.5,0.775,11.5,31.6,43.1,28.7,9.4,5.0,15.1,18.5,114.6
Chicago Bulls,43.2,92.0,0.47,15.4,42.0,0.367,27.8,50.0,0.556,16.0,19.7,0.809,10.1,35.8,45.9,29.1,7.6,4.7,14.7,17.6,117.8,0.47,14.6,,0.543,0.264,0.187,0.057,0.036,0.457,,0.556,0.655,0.494,0.428,0.348,0.367,,0.567,0.862,,0.043,277,,0.291,1284,,0.25,0.389,,15.0,2.0,3543,7545,0.47,1266,3447,0.367,2277,4098,0.556,1308,1617,0.809,825,2935,3760,2383,621,386,1203,1444,9660,25.2,39.0,43.0,37,45,-1.56,-0.27,-1.83,114.1,115.6,-1.5,102.8,0.214,0.457,0.585,,0.553,12.7,22.3,0.173,,0.539,10.8,76.6,0.178,,United Center,"825,659","20,138",39-43,18-23,21-20,28-24,19-Nov,07-Nov,12-Apr,13-May,06-Apr,06-Apr,07-Mar,22-33,17-Oct,04-Jun,23-26,02-Mar,11-May,05-Jul,10-Jun,08-Mar,06-Sep,01-Jun,41.9,89.1,0.47,15.0,40.7,0.367,26.9,48.4,0.556,15.5,19.1,0.809,9.7,34.7,44.4,28.2,7.3,4.6,14.2,17.1,114.1
Indiana Pacers,43.6,89.3,0.488,13.2,35.8,0.368,30.4,53.6,0.568,17.0,21.6,0.789,9.2,32.7,41.8,29.2,8.5,5.5,13.2,18.7,117.4,0.488,14.5,,0.6,0.218,0.207,0.111,0.062,0.4,,0.568,0.707,0.519,0.473,0.409,0.368,,0.597,0.842,,0.053,342,,0.276,1221,,0.25,0.401,,22.0,0.0,3574,7326,0.488,1081,2934,0.368,2493,4392,0.568,1395,1768,0.789,752,2678,3430,2398,694,448,1082,1533,9624,25.8,50.0,32.0,46,36,2.23,-0.55,1.68,116.5,114.3,2.2,99.9,0.241,0.4,0.594,,0.562,11.8,21.3,0.19,,0.546,13.1,74.5,0.19,,Gainbridge Fieldhouse,"685,434","16,737",50-32,29-Dec,21-20,29-22,21-Oct,07-Oct,06-Oct,09-Sep,04-Jun,02-Aug,04-Jul,30-23,20-Sep,02-Jun,25-17,03-Feb,08-Jul,07-Jul,02-Oct,05-Jul,06-Nov,01-Jun,43.3,88.7,0.488,13.1,35.5,0.368,30.2,53.2,0.568,16.9,21.4,0.789,9.1,32.4,41.5,29.0,8.4,5.4,13.1,18.6,116.5
Boston Celtics,41.6,90.0,0.462,17.8,48.2,0.368,23.9,41.8,0.571,15.3,19.1,0.799,11.4,33.9,45.3,26.1,7.2,5.5,11.9,15.9,116.3,0.462,17.0,,0.464,0.179,0.168,0.073,0.045,0.536,,0.571,0.748,0.487,0.424,0.416,0.368,,0.505,0.794,,0.054,352,,0.213,936,,0.187,0.393,,12.0,0.0,3413,7382,0.462,1457,3955,0.368,1956,3427,0.571,1251,1565,0.799,933,2783,3716,2144,589,452,973,1303,9534,28.9,61.0,21.0,62,20,9.11,-0.83,8.28,120.6,111.1,9.5,95.7,0.212,0.536,0.591,,0.561,10.8,25.7,0.169,,0.522,11.6,76.0,0.154,,TD Garden,"785,396","19,156",61-21,28-13,Aug-33,39-13,22-Aug,14-Feb,06-Dec,13-May,02-Aug,03-Jul,03-Jul,39-16,22-May,03-Aug,Jul-41,01-Apr,02-Dec,06-Aug,06-Oct,03-Aug,14-Jan,02-May,43.2,93.3,0.462,18.4,50.0,0.368,24.7,43.3,0.571,15.8,19.8,0.799,11.8,35.2,47.0,27.1,7.4,5.7,12.3,16.5,120.6
New York Knicks,43.3,89.2,0.486,12.6,34.1,0.369,30.8,55.1,0.558,16.5,20.7,0.8,10.9,31.8,42.6,27.5,8.2,4.0,13.3,17.2,115.8,0.486,13.5,,0.618,0.27,0.196,0.107,0.045,0.382,,0.558,0.696,0.445,0.477,0.412,0.369,,0.555,0.828,,0.057,377,,0.275,1170,,0.285,0.386,,19.0,0.0,3553,7315,0.486,1031,2794,0.369,2522,4521,0.558,1357,1696,0.8,890,2607,3497,2254,671,324,1088,1407,9494,27.5,51.0,31.0,51,31,4.1,-0.51,3.59,118.5,114.3,4.2,96.7,0.232,0.382,0.589,,0.556,11.9,26.0,0.186,,0.549,13.1,74.5,0.176,,Madison Square Garden (IV),"811,794","19,800",51-31,27-14,24-17,34-18,17-13,04-Dec,10-Jul,15-Apr,04-Jun,06-Apr,03-Jul,36-18,15-13,03-Jul,31-19,02-Feb,06-Sep,02-Dec,06-Sep,04-Jul,07-Aug,04-Apr,44.3,91.3,0.486,12.9,34.9,0.369,31.5,56.4,0.558,16.9,21.2,0.8,11.1,32.5,43.6,28.1,8.4,4.0,13.6,17.6,118.5
Sacramento Kings,43.0,90.1,0.478,12.6,35.2,0.357,30.5,54.9,0.555,17.1,21.2,0.806,11.0,33.2,44.2,26.5,7.6,4.4,13.3,18.9,115.7,0.478,15.0,,0.609,0.171,0.224,0.123,0.092,0.391,,0.555,0.715,0.529,0.479,0.425,0.357,,0.511,0.865,,0.05,341,,0.251,1104,,0.233,0.397,,13.0,0.0,3529,7385,0.478,1032,2887,0.357,2497,4498,0.555,1400,1738,0.806,901,2723,3624,2169,620,357,1092,1548,9490,27.8,40.0,42.0,42,40,0.48,0.11,0.58,116.7,116.2,0.5,98.2,0.235,0.391,0.582,,0.548,11.8,25.4,0.19,,0.557,12.5,76.9,0.2,,Golden 1 Center,"696,409","16,986",40-42,20-21,20-21,14-16,26-26,06-Apr,06-Apr,04-Jun,11-Aug,11-May,13-Apr,28-27,15-Dec,09-Apr,22-19,02-Feb,09-Jul,08-May,04-Oct,05-Jun,11-Jun,03-Apr,43.4,90.8,0.478,12.7,35.5,0.357,30.7,55.3,0.555,17.2,21.4,0.806,11.1,33.5,44.6,26.7,7.6,4.4,13.4,19.0,116.7
